addrcode,Total
100101,3715
100102,11226
100103,3328
100104,3309
100105,3214
100106,2281
100107,4885
100108,2496
100109,1959
100110,6811
100111,4600
100112,2884
100201,9126
100202,11431
100203,9374
100204,7402
100206,54005
100301,36777
100302,20465
100303,8794
100304,10836
100305,33385
100306,17393
100307,29829
100308,9352
100401,11369
100402,9618
100403,3981
100404,2723
100405,9984
100502,93008
100508,94458
100601,78474
100608,67402
100701,17104
100702,5643
100703,4387
100704,17124
100801,13910
100802,7040
100803,9216
100804,6794
100805,6999
100905,89321
101001,94694
101002,44167
101101,29165
101102,66374
101103,15359
101104,23549
101105,28154
101106,7943
101203,47328
101204,29708
101301,7255
101302,8702
101303,7486
101401,68754
101501,9153
101502,12372
101503,21470
101504,16041
101505,16083
101506,17394
101507,15753
101601,12445
101602,53406
101701,22791
101702,16746
101704,38583
101801,12895
101802,12581
101803,24326
101804,18434
101901,9955
101902,24999
101903,24418
101904,13815
101905,19349
101907,11589
102004,12746
102005,31420
102006,9368
102007,32837
102009,20290
102105,56537
102107,121101
102201,35406
102202,29391
102206,8157
102207,18903
102208,11183
102209,14971
102210,6485
102302,78517
102303,74782
102401,32913
102402,48543
102501,23758
102502,24779
102503,18803
102504,24849
102601,120649
102701,68229
102704,27860
102705,46491
102801,38342
102802,19376
102803,18450
102901,77189
102902,44080
103001,43664
103002,19857
103003,38692
103004,30947
103005,21584
103101,22237
103102,25735
103103,37044
103201,80920
103202,42152
103203,46487
103301,63585
103302,10236
103303,21225
103401,119017
103501,36912
103502,35070
103503,41952
103504,34730
103602,62361
103604,80406
103605,23616
103701,21775
103702,8822
103703,14577
103704,16168
103801,91763
103802,27538
103901,7478
103902,38383
103903,22060
104001,39171
104002,57846
104003,40069
104004,52012
104101,75783
104102,27795
104201,75362
104202,35968
104203,85346
104301,37310
104302,49355
104401,93884
104501,25262
104502,12358
104503,28362
104504,44830
104601,54500
104602,25583
104603,79748
104604,11806
104605,16355
104701,89508
104801,22144
104802,54931
104901,54231
104902,65200
105001,104142
