addrcode,Total
810101,19364
810102,10785
810103,16917
810105,10462
810106,6675
810111,9786
810115,13703
810116,12822
810117,10171
810118,5479
810201,12389
810202,8747
810203,9258
810204,8967
810205,9386
810206,5866
810301,7545
810302,5809
810303,8285
810304,6091
810305,6454
810401,12742
810402,6477
810403,19833
810404,10754
810405,9640
810406,10617
810407,6284
810501,10055
810502,6437
810503,4943
810504,6957
810505,6458
810506,7450
810507,4344
810508,3906
810509,5038
810601,18487
810602,6440
810603,7613
810604,5872
810701,9154
810702,6061
810703,4957
810704,3881
810801,14382
810802,5264
810803,9268
810804,5764
810805,6435
810806,6008
810807,7810
810808,7395
