addrcode,Total
801611,6891
800708,8958
801206,5101
800301,7544
800907,10586
800913,14145
801408,5658
800503,8165
800710,8213
800612,6328
801605,6564
800704,7432
802301,6118
800601,3637
801407,8038
801405,7606
801404,12354
801303,11080
800610,2742
801003,7124
800613,7574
801604,6161
801209,1990
800118,34631
800813,8982
800807,14302
800101,43232
800113,6558
800809,7044
800405,7711
800606,4358
800410,6941
802102,10041
801107,10560
800802,8707
800406,4121
800502,5498
800908,14965
802103,7511
800611,7048
800112,9574
800304,9141
801104,8233
801501,13469
801218,4906
800707,5927
800305,10284
801802,4328
801205,5970
801202,11075
800103,15960
801304,4437
800904,10282
800505,3965
801609,4985
801306,8395
801502,10958
801305,12895
801903,3320
800709,7351
800416,7309
801403,6669
800401,6963
801204,3465
800902,13262
800701,12455
802201,15793
802004,11886
802302,5622
800810,5094
801803,7046
800811,8598
800911,12222
801801,7812
801603,7777
800607,4443
800204,11737
800122,21997
800702,4781
800106,8219
800603,2561
800803,13733
802304,8723
800116,10631
801608,2979
800121,11316
800303,7981
800703,7206
801216,4716
802003,13391
801101,14611
800102,17288
800801,31759
800909,13931
801904,9818
801409,11055
801103,9900
801402,11014
801002,8230
801102,5671
802101,8182
800415,2821
800115,14201
800205,5664
802104,7727
800404,7364
800912,6298
800905,9719
800407,4609
800711,6539
800108,6579
801001,11182
802001,8154
802002,10153
801905,7177
800906,9917
800910,3317
801701,14023
800119,10762
801213,1040
801607,1995
801212,6484
801106,9198
801211,2527
800202,5153
800605,2756
801215,3040
801207,3749
800604,872
801901,1600
801902,2709
800706,7126
801704,7649
801606,3590
801702,16123
801105,16117
800901,30575
801217,3494
800107,15107
801210,8924
801214,11383
800120,36908
801203,4481
800201,9062
800501,5526
800114,5021
800504,5928
801301,25894
801610,2171
800403,11490
800302,5908
801703,9035
800705,10357
800806,8905
802203,5043
802303,10667
801906,6807
801401,15147
801406,10205
800903,10354
801602,10353
802202,7699
800409,6481
801601,10580
800804,4959
801208,5798
800203,5779
