addrcode,Total
100101,3715
100102,11226
100103,3328
100104,3309
100105,3214
100106,2281
100107,4885
100108,2496
100109,1959
100110,6811
100111,4600
100112,2884
100201,9126
100202,11431
100203,9374
100204,7402
100206,54005
100301,36777
100302,20465
100303,8794
100304,10836
100305,33385
100306,17393
100307,29829
100308,9352
100401,11369
100402,9618
100403,3981
100404,2723
100405,9984
100502,93008
100508,94458
100601,78474
100608,67402
100701,17104
100702,5643
100703,4387
100704,17124
100801,13910
100802,7040
100803,9216
100804,6794
100805,6999
100905,89321
101001,94694
101002,44167
101101,29165
101102,66374
101103,15359
101104,23549
101105,28154
101106,7943
101203,47328
101204,29708
101301,7255
101302,8702
101303,7486
101401,68754
101501,9153
101502,12372
101503,21470
101504,16041
101505,16083
101506,17394
101507,15753
101601,12445
101602,53406
101701,22791
101702,16746
101704,38583
101801,12895
101802,12581
101803,24326
101804,18434
101901,9955
101902,24999
101903,24418
101904,13815
101905,19349
101907,11589
102004,12746
102005,31420
102006,9368
102007,32837
102009,20290
102105,56537
102107,121101
102201,35406
102202,29391
102206,8157
102207,18903
102208,11183
102209,14971
102210,6485
102302,78517
102303,74782
102401,32913
102402,48543
102501,23758
102502,24779
102503,18803
102504,24849
102601,120649
102701,68229
102704,27860
102705,46491
102801,38342
102802,19376
102803,18450
102901,77189
102902,44080
103001,43664
103002,19857
103003,38692
103004,30947
103005,21584
103101,22237
103102,25735
103103,37044
103201,80920
103202,42152
103203,46487
103301,63585
103302,10236
103303,21225
103401,119017
103501,36912
103502,35070
103503,41952
103504,34730
103602,62361
103604,80406
103605,23616
103701,21775
103702,8822
103703,14577
103704,16168
103801,91763
103802,27538
103901,7478
103902,38383
103903,22060
104001,39171
104002,57846
104003,40069
104004,52012
104101,75783
104102,27795
104201,75362
104202,35968
104203,85346
104301,37310
104302,49355
104401,93884
104501,25262
104502,12358
104503,28362
104504,44830
104601,54500
104602,25583
104603,79748
104604,11806
104605,16355
104701,89508
104801,22144
104802,54931
104901,54231
104902,65200
105001,104142
801611,6891
800708,8958
801206,5101
800301,7544
800907,10586
800913,14145
801408,5658
800503,8165
800710,8213
800612,6328
801605,6564
800704,7432
802301,6118
800601,3637
801407,8038
801405,7606
801404,12354
801303,11080
800610,2742
801003,7124
800613,7574
801604,6161
801209,1990
800118,34631
800813,8982
800807,14302
800101,43232
800113,6558
800809,7044
800405,7711
800606,4358
800410,6941
802102,10041
801107,10560
800802,8707
800406,4121
800502,5498
800908,14965
802103,7511
800611,7048
800112,9574
800304,9141
801104,8233
801501,13469
801218,4906
800707,5927
800305,10284
801802,4328
801205,5970
801202,11075
800103,15960
801304,4437
800904,10282
800505,3965
801609,4985
801306,8395
801502,10958
801305,12895
801903,3320
800709,7351
800416,7309
801403,6669
800401,6963
801204,3465
800902,13262
800701,12455
802201,15793
802004,11886
802302,5622
800810,5094
801803,7046
800811,8598
800911,12222
801801,7812
801603,7777
800607,4443
800204,11737
800122,21997
800702,4781
800106,8219
800603,2561
800803,13733
802304,8723
800116,10631
801608,2979
800121,11316
800303,7981
800703,7206
801216,4716
802003,13391
801101,14611
800102,17288
800801,31759
800909,13931
801904,9818
801409,11055
801103,9900
801402,11014
801002,8230
801102,5671
802101,8182
800415,2821
800115,14201
800205,5664
802104,7727
800404,7364
800912,6298
800905,9719
800407,4609
800711,6539
800108,6579
801001,11182
802001,8154
802002,10153
801905,7177
800906,9917
800910,3317
801701,14023
800119,10762
801213,1040
801607,1995
801212,6484
801106,9198
801211,2527
800202,5153
800605,2756
801215,3040
801207,3749
800604,872
801901,1600
801902,2709
800706,7126
801704,7649
801606,3590
801702,16123
801105,16117
800901,30575
801217,3494
800107,15107
801210,8924
801214,11383
800120,36908
801203,4481
800201,9062
800501,5526
800114,5021
800504,5928
801301,25894
801610,2171
800403,11490
800302,5908
801703,9035
800705,10357
800806,8905
802203,5043
802303,10667
801906,6807
801401,15147
801406,10205
800903,10354
801602,10353
802202,7699
800409,6481
801601,10580
800804,4959
801208,5798
800203,5779
810101,19364
810102,10785
810103,16917
810105,10462
810106,6675
810111,9786
810115,13703
810116,12822
810117,10171
810118,5479
810201,12389
810202,8747
810203,9258
810204,8967
810205,9386
810206,5866
810301,7545
810302,5809
810303,8285
810304,6091
810305,6454
810401,12742
810402,6477
810403,19833
810404,10754
810405,9640
810406,10617
810407,6284
810501,10055
810502,6437
810503,4943
810504,6957
810505,6458
810506,7450
810507,4344
810508,3906
810509,5038
810601,18487
810602,6440
810603,7613
810604,5872
810701,9154
810702,6061
810703,4957
810704,3881
810801,14382
810802,5264
810803,9268
810804,5764
810805,6435
810806,6008
810807,7810
810808,7395
