district,Age < 7,Age 7 - 9,Age 10 - 14,Age 15 - 24,Age 25 - 34,Age 35 - 44,Age 45 - 60,Age > 60
1001,1975,1405,3421,6768,6310,7189,12263,11377
1002,1773,918,1741,5666,4736,4906,8967,8626
1003,14242,6928,11754,23905,21426,27989,36450,14785
1004,1713,887,1627,4386,5256,5566,9144,9096
1005,11902,5489,9681,25038,25866,33522,49226,26742
1006,9588,4762,8198,18096,20115,27265,36103,21749
1007,2168,1079,2217,6652,6386,6592,10592,8572
1008,2042,995,1988,5534,5874,6300,10901,10325
1010,11209,5608,9807,20286,18349,23765,34629,15208
1011,12067,5622,9762,20301,20246,25727,34517,13137
1012,4793,2372,4187,9951,11241,12442,18461,13589
1013,876,478,1013,2776,3172,3366,5912,5850
1014,3674,1984,4090,10617,9655,10829,16478,11427
1015,5818,2873,5325,14414,15323,16560,27080,20873
1016,3362,1619,3166,8770,9170,9972,16252,13540
1017,4928,2159,3799,8856,13077,15057,17313,12931
1018,3491,1822,3219,8685,9714,10458,16781,14066
1019,4782,2365,4116,10332,10949,12360,20522,14281
1020,5085,2518,4681,13970,14627,15560,27308,22912
1021,14662,6975,12356,25339,25365,31539,41652,19750
1022,7870,3686,6527,16371,17846,20165,30685,21346
1023,11216,5585,9567,21483,21458,26419,38180,19391
1024,5303,2612,4863,11152,11170,13028,20012,13316
1025,4779,2139,3891,11147,12812,14505,23117,19799
1026,6599,3430,6445,16290,16606,18542,30287,22450
1027,4378,2186,3759,8642,9471,12370,16704,10719
1028,3938,2028,3888,9537,10452,11287,18818,16220
1029,2152,1022,1975,5076,6332,6945,11214,9364
1030,8226,4157,7774,18897,22490,26446,37632,29122
1031,5173,2584,4716,11575,11803,12410,20352,16403
1032,11112,5118,8462,17575,17937,23581,28673,14949
1033,6194,2932,5042,12463,14256,15626,23073,15460
1034,8343,3894,7083,15490,18028,21347,26869,17963
1035,9115,4452,7912,20484,21628,22516,37060,25497
1036,10547,5349,9035,26774,24571,27193,41628,21286
1037,3213,1658,3009,9905,8570,8732,14925,11330
1038,7188,3638,6840,14463,16208,21143,28788,21033
1039,3990,1998,3508,7963,9038,10615,15727,15082
1040,8472,4216,7439,18693,18289,21364,33673,19106
1041,5877,2824,5151,14035,14004,16829,26135,18723
1042,14370,6935,11798,27137,26853,33985,51043,24555
1043,5933,2974,5206,11880,11746,14492,21967,12467
1044,6579,3114,6095,12965,13061,15576,23155,13339
1045,6747,3573,7157,14877,15018,19047,27153,17240
1046,15927,7429,12637,26650,25604,34922,47825,16998
1047,5160,2755,4928,11819,12806,14532,22960,14548
1048,4699,2416,4235,10552,10376,11667,20627,12503
1049,8614,4171,7482,16857,16376,20360,29607,15964
1050,7594,4065,7526,16568,13844,16162,25880,12503
