district,addrcode,Age < 7,Age 7 - 9,Age 10 - 14,Age 15 - 24,Age 25 - 34,Age 35 - 44,Age 45 - 60,Age > 60
1001,100101,129,84,131,680,441,474,895,881
1001,100102,461,397,1117,1411,1373,1636,2641,2190
1001,100103,119,80,187,427,438,448,831,798
1001,100104,140,96,247,426,391,498,802,709
1001,100105,131,84,209,375,418,464,779,754
1001,100106,90,59,94,285,322,316,526,589
1001,100107,185,129,381,627,572,681,1194,1116
1001,100108,89,72,161,337,319,350,650,518
1001,100109,74,31,77,226,245,254,494,558
1001,100110,255,196,517,881,839,958,1660,1505
1001,100111,172,107,192,763,611,671,1104,980
1001,100112,130,70,108,330,341,439,687,779
1002,100201,396,235,447,1493,1062,1196,2193,2104
1002,100202,488,220,471,2101,1624,1418,2727,2382
1002,100203,440,233,449,1133,1064,1308,2336,2411
1002,100204,449,230,374,939,986,984,1711,1729
1003,100301,3453,1650,2820,5463,5086,7001,8148,3156
1003,100302,1990,918,1541,3142,3027,3486,4339,2022
1003,100303,793,382,596,1287,1274,1384,1934,1144
1003,100304,825,388,728,1639,1493,1713,2757,1293
1003,100305,3064,1529,2678,5216,4548,5990,7713,2647
1003,100306,1753,833,1278,2689,2316,2985,3933,1606
1003,100307,2364,1228,2113,4469,3682,5430,7626,2917
1004,100401,496,263,486,1399,1733,1627,2816,2549
1004,100402,445,249,423,1097,1282,1470,2339,2313
1004,100403,176,77,168,457,527,615,905,1056
1004,100404,132,60,124,330,343,367,638,729
1004,100405,464,238,426,1103,1371,1487,2446,2449
1005,100502,5416,2404,4460,13105,13542,15481,24196,14404
1005,100508,6486,3085,5221,11933,12324,18041,25030,12338
1006,100601,4855,2567,4376,9769,10368,14322,20012,12205
1006,100608,4733,2195,3822,8327,9747,12943,16091,9544
1007,100701,854,450,824,2167,2410,2488,4216,3695
1007,100702,278,117,408,945,799,810,1326,960
1007,100703,106,71,139,1386,849,743,619,474
1007,100704,930,441,846,2154,2328,2551,4431,3443
1008,100801,586,334,631,1830,1939,2019,3393,3178
1008,100802,326,154,326,893,902,1000,1791,1648
1008,100803,490,221,424,1130,1270,1256,2340,2085
1008,100804,289,145,306,788,849,1079,1659,1679
1008,100805,351,141,301,893,914,946,1718,1735
1010,101001,7378,3743,6575,13251,12449,16854,23718,10726
1010,101002,3831,1865,3232,7035,5900,6911,10911,4482
1011,101102,5531,2634,4504,9460,9350,12365,16602,5928
1011,101103,1062,557,1023,2325,2042,2469,4297,1584
1011,101104,2111,952,1720,3332,3439,4240,5531,2224
1011,101105,2662,1106,1918,4026,4319,5414,6328,2381
1011,101106,701,373,597,1158,1096,1239,1759,1020
1012,101203,2894,1403,2538,5890,6882,7856,11476,8389
1012,101204,1899,969,1649,4061,4359,4586,6985,5200
1013,101301,273,143,282,838,925,1065,1823,1906
1013,101302,290,174,366,966,1167,1259,2165,2315
1013,101303,313,161,365,972,1080,1042,1924,1629
1014,101401,3674,1984,4090,10617,9655,10829,16478,11427
1015,101501,476,248,513,1204,1314,1220,2329,1849
1015,101502,648,331,636,1726,1724,1807,2988,2512
1015,101503,1245,603,1180,2927,3052,3195,5307,3961
1015,101504,897,448,739,2353,2348,2775,4023,2458
1015,101505,827,381,775,2063,2206,2383,4134,3314
1015,101506,973,474,816,2181,2538,2789,4174,3449
1015,101507,752,388,666,1960,2141,2391,4125,3330
1016,101601,576,300,576,1711,1671,1704,3096,2811
1016,101602,2786,1319,2590,7059,7499,8268,13156,10729
1017,101701,1334,548,1007,2457,4141,4703,5009,3592
1017,101702,1186,525,884,1905,2636,3115,3832,2663
1017,101704,2408,1086,1908,4494,6300,7239,8472,6676
1018,101801,610,350,626,1535,1783,1858,3222,2911
1018,101802,646,335,671,1787,1749,1821,3079,2493
1018,101803,1293,679,1013,3026,3387,3767,5962,5199
1018,101804,942,458,909,2337,2795,3012,4518,3463
1019,101901,564,272,460,1235,1354,1654,2652,1764
1019,101902,1438,739,1198,3210,3448,3964,6179,4823
1019,101904,834,409,727,1772,1929,1954,3572,2618
1019,101905,1158,567,1042,2565,2678,2825,5135,3379
1019,101907,788,378,689,1550,1540,1963,2984,1697
1020,102004,644,303,515,2059,1722,1628,3076,2799
1020,102005,1486,751,1457,4292,4214,4383,8077,6760
1020,102006,455,230,445,1085,1336,1390,2444,1983
1020,102007,1517,721,1371,4072,4562,4912,8621,7061
1020,102009,983,513,893,2462,2793,3247,5090,4309
1021,102105,4536,2049,3887,8070,7720,10516,13835,5924
1021,102107,10126,4926,8469,17269,17645,21023,27817,13826
1022,102201,2262,1066,1822,4504,5556,6060,8549,5587
1022,102202,2067,942,1745,4101,4132,4741,6860,4803
1022,102206,606,250,449,1137,1102,1325,2042,1246
1022,102207,1149,537,911,2435,2670,3092,4809,3300
1022,102208,761,374,611,1469,1543,1822,2841,1762
1022,102209,676,360,663,1852,2029,2192,3886,3313
1022,102210,349,157,326,873,814,933,1698,1335
1023,102302,6020,2928,4878,10893,10984,14179,19278,9357
1023,102303,5196,2657,4689,10590,10474,12240,18902,10034
1024,102401,2103,933,1864,4446,4504,5144,8100,5819
1024,102402,3200,1679,2999,6706,6666,7884,11912,7497
1025,102501,1102,543,962,2852,3100,3638,5829,5732
1025,102502,1493,606,1152,3123,3590,3829,6203,4783
1025,102503,960,403,735,2101,2738,3157,4781,3928
1025,102504,1224,587,1042,3071,3384,3881,6304,5356
1026,102601,6599,3430,6445,16290,16606,18542,30287,22450
1027,102701,4378,2186,3759,8642,9471,12370,16704,10719
1028,102801,1922,1017,1933,4894,5394,5721,9448,8013
1028,102802,924,479,920,2338,2629,2680,4899,4507
1028,102803,1092,532,1035,2305,2429,2886,4471,3700
1029,102902,2152,1022,1975,5076,6332,6945,11214,9364
1030,103001,2241,1258,2253,5215,5709,6955,10890,9143
1030,103002,1114,537,967,2582,3164,3432,4752,3309
1030,103003,2065,1012,1994,5193,5710,6665,9198,6855
1030,103004,1513,650,1292,3107,4932,5696,7275,6482
1030,103005,1293,700,1268,2800,2975,3698,5517,3333
1031,103101,1361,643,1142,2950,3135,3279,5474,4253
1031,103102,1476,701,1377,3458,3556,3676,6255,5236
1031,103103,2336,1240,2197,5167,5112,5455,8623,6914
1032,103201,6875,3220,5462,11364,11519,14527,17583,10370
1032,103203,4237,1898,3000,6211,6418,9054,11090,4579
1033,103301,4477,2162,3647,8917,9484,10174,15409,9315
1033,103302,517,248,452,1156,1397,1668,2497,2301
1033,103303,1200,522,943,2390,3375,3784,5167,3844
1034,103401,8343,3894,7083,15490,18028,21347,26869,17963
1035,103501,2213,1138,2060,5181,5206,5488,9193,6433
1035,103502,2027,990,1852,4843,5070,5370,8630,6288
1035,103503,2703,1204,2075,5581,6472,6504,10764,6649
1035,103504,2172,1120,1925,4879,4880,5154,8473,6127
1036,103602,3867,1967,3429,9867,9396,9965,16047,7823
1036,103604,5666,2912,4820,11418,11114,13710,20639,10127
1036,103605,1014,470,786,5489,4061,3518,4942,3336
1037,103701,1101,590,1135,5058,3129,2761,5292,2709
1037,103702,413,213,349,1051,1275,1267,2225,2029
1037,103703,724,368,668,1753,2052,2090,3601,3321
1037,103704,975,487,857,2043,2114,2614,3807,3271
1038,103801,5496,2873,5444,11345,12312,16101,22314,15878
1038,103802,1692,765,1396,3118,3896,5042,6474,5155
1039,103901,455,225,390,769,967,1180,1805,1687
1039,103902,2413,1220,2175,4789,4827,5866,8759,8334
1039,103903,1122,553,943,2405,3244,3569,5163,5061
1040,104001,2688,1366,2342,5503,5543,7095,9398,5236
1040,104003,2430,1213,2154,5718,5440,5970,10557,6587
1040,104004,3354,1637,2943,7472,7306,8299,13718,7283
1041,104101,4094,2007,3684,10542,10197,12060,19134,14065
1041,104102,1783,817,1467,3493,3807,4769,7001,4658
1042,104201,5259,2576,4535,10041,10320,12899,19588,10144
1042,104202,3137,1379,2247,4875,4931,6872,9019,3508
1042,104203,5974,2980,5016,12221,11602,14214,22436,10903
1043,104301,2720,1318,2130,5280,5184,6108,9596,4974
1043,104302,3213,1656,3076,6600,6562,8384,12371,7493
1044,104401,6579,3114,6095,12965,13061,15576,23155,13339
1045,104501,1503,788,1444,3237,3360,4360,6210,4360
1045,104502,574,276,596,1598,1662,1939,3146,2567
1045,104503,1616,849,1653,3603,3938,4761,7256,4686
1045,104504,3054,1660,3464,6439,6058,7987,10541,5627
1046,104601,4423,2263,3779,7466,6405,11162,14652,4350
1046,104602,2028,970,1816,3902,3287,3915,6907,2758
1046,104603,6930,3073,5073,10920,11773,15289,19628,7062
1046,104604,949,436,747,1705,1757,1985,3064,1163
1046,104605,1597,687,1222,2657,2382,2571,3574,1665
1047,104701,5160,2755,4928,11819,12806,14532,22960,14548
1048,104801,1454,718,1265,3190,3045,3376,5788,3308
1048,104802,3245,1698,2970,7362,7331,8291,14839,9195
1049,104901,3944,1800,3217,7516,7704,9227,13306,7517
1049,104902,4670,2371,4265,9341,8672,11133,16301,8447
1050,105001,7594,4065,7526,16568,13844,16162,25880,12503
