district,addrcode,Age < 7,Age 7 - 9,Age 10 - 14,Age 15 - 24,Age 25 - 34,Age 35 - 44,Age 45 - 60,Age > 60
8101,810103,1912,773,1175,2509,2783,2714,3364,1687
8101,810105,1141,540,805,1558,1842,1598,1986,992
8101,810106,734,332,581,1073,1111,1040,1197,607
8101,810111,954,373,690,1455,1584,1759,2017,954
8101,810115,1601,695,1171,2262,2124,2187,2624,1039
8101,810116,1758,802,981,1635,2228,2270,2271,877
8101,810117,1045,459,840,1654,1716,1648,1882,927
8101,810118,707,307,478,903,965,775,859,485
8102,810201,1418,601,853,1769,2038,2078,2429,1203
8102,810202,874,454,632,1314,1465,1459,1684,865
8102,810203,1015,466,675,1475,1614,1545,1644,824
8102,810204,907,430,671,1358,1580,1506,1686,829
8102,810205,1098,489,741,1591,1542,1472,1628,825
8102,810206,607,265,411,973,986,1004,1104,516
8103,810303,918,427,654,1229,1485,1274,1465,833
8103,810304,656,330,515,943,1117,916,1022,592
8103,810305,845,397,521,864,1153,1187,1039,448
8104,810401,1464,737,1061,2097,2020,1796,2368,1199
8104,810402,750,308,467,995,1144,1098,1178,537
8104,810403,2137,1008,1656,3131,3321,3016,3669,1895
8104,810404,1192,541,887,1797,1827,1532,1992,986
8104,810405,1065,518,790,1476,1607,1490,1764,930
8104,810406,1057,483,758,1643,1857,1656,2088,1075
8104,810407,589,271,426,964,1126,1120,1169,619
8105,810501,891,407,743,1461,1464,1627,2205,1257
8105,810503,414,190,290,687,733,809,1110,710
8105,810504,887,415,581,1015,1169,1061,1178,651
8105,810505,769,352,544,1070,1053,981,1112,577
8105,810506,632,320,491,1193,1165,1238,1539,872
8105,810507,422,170,288,606,670,679,960,549
8105,810508,413,203,285,547,666,653,696,443
8105,810509,605,279,401,799,851,741,895,467
8106,810601,1856,821,1345,2727,3115,3012,3695,1916
8106,810602,604,270,391,938,1183,976,1340,738
8106,810603,736,346,582,1120,1157,1215,1573,884
8106,810604,552,245,367,809,1021,1001,1189,688
8107,810701,1136,425,641,1273,1626,1462,1809,782
8107,810702,656,312,476,875,1020,1041,1027,654
8107,810703,581,253,335,762,875,802,899,450
8107,810704,427,184,270,585,685,606,787,337
8108,810801,1634,699,1118,2105,2094,2320,2897,1515
8108,810803,1062,492,761,1419,1554,1401,1637,942
8108,810804,695,296,499,892,975,810,967,630
8108,810805,651,284,410,863,1047,1058,1234,888
8108,810806,631,316,441,885,1024,942,1063,706
8108,810807,691,360,563,1059,1191,1223,1697,1026
8108,810808,747,323,548,1078,1177,1240,1423,859
