district,Age < 7,Age 7 - 9,Age 10 - 14,Age 15 - 24,Age 25 - 34,Age 35 - 44,Age 45 - 60,Age > 60
8001,22194,10025,17169,40738,39564,40158,57796,40340
8002,3041,1381,2187,4915,5516,6013,8494,5848
8003,3104,1352,2260,5040,5898,6449,9877,6878
8004,5274,2426,3922,8179,9318,10376,14854,11461
8005,2271,1098,1678,3500,3983,4642,6745,5165
8006,2986,1373,2432,5547,5929,6960,8998,8094
8007,6853,3350,5638,12080,13377,13984,18325,12738
8008,10247,4553,7691,16285,16935,17169,22585,16618
8009,14554,6637,10936,24775,24334,24594,33480,20263
8010,2347,1068,1594,3469,4087,4266,5538,4167
8011,7241,3224,4929,10526,12297,11927,14943,9203
8012,6257,2803,4956,12138,13827,14022,18435,15705
8013,5222,2377,4042,8351,9418,10029,13364,9898
8014,7168,3143,5356,12289,12757,13975,19322,13736
8015,1861,842,1426,3063,3278,3923,5955,4079
8016,4812,2280,3968,8951,9271,9859,13068,11837
8017,5019,2294,3624,7461,7893,7328,8885,4326
8018,1847,849,1295,2521,3144,3074,4031,2425
8019,2644,1302,1896,4296,5154,5095,6494,4550
8020,3524,1508,2573,6099,6687,7209,9516,6468
8021,2991,1408,2167,4578,5552,5327,7411,4027
8022,2229,1103,1792,3611,4318,4737,6263,4482
8023,2383,1115,1843,4434,4565,5035,6563,5192
