district,addrcode,Age < 7,Age 7 - 9,Age 10 - 14,Age 15 - 24,Age 25 - 34,Age 35 - 44,Age 45 - 60,Age > 60
8016,801611,552,242,442,1058,1078,1057,1344,1118
8007,800708,654,308,514,1265,1334,1451,2008,1424
8012,801206,377,138,262,671,745,792,1061,1055
8003,800301,595,248,446,922,1096,1240,1847,1150
8009,800907,1142,491,720,1486,1713,1669,2092,1273
8009,800913,1482,647,980,2107,2265,2203,2792,1669
8014,801408,446,221,364,718,830,925,1346,808
8005,800503,727,315,486,1021,1148,1307,1810,1351
8007,800710,790,399,613,1154,1372,1339,1656,890
8006,800612,480,197,374,858,910,1057,1295,1157
8016,801605,435,234,432,906,866,974,1337,1380
8007,800704,538,257,455,1006,1119,1296,1496,1265
8023,802301,409,180,309,833,842,941,1379,1225
8006,800601,219,100,188,452,460,556,839,823
8014,801407,656,292,477,1062,1147,1392,1721,1291
8014,801405,530,260,412,1030,1036,1309,1684,1345
8014,801404,969,408,680,1671,1747,1860,2733,2286
8013,801303,916,426,724,1444,1680,1847,2312,1731
8006,800610,155,78,154,360,365,456,573,601
8010,801003,694,309,426,933,1146,1103,1422,1091
8006,800613,652,313,510,1085,1058,1256,1577,1123
8016,801604,498,238,371,808,845,1010,1205,1186
8012,801209,122,68,119,282,306,297,490,306
8001,800118,3030,1377,2302,5058,4826,5364,7551,5123
8008,800813,929,436,719,1527,1457,1314,1598,1002
8008,800807,1569,658,1152,2339,2250,2092,2457,1785
8001,800101,3786,1934,3354,7153,5710,5753,8958,6584
8001,800113,507,200,361,974,981,1020,1503,1012
8008,800809,593,257,433,896,940,1205,1488,1232
8004,800405,585,278,449,934,1036,1269,1737,1423
8006,800606,278,120,203,547,636,709,927,938
8004,800410,541,265,435,844,967,1074,1561,1254
8021,802102,979,485,687,1426,1740,1604,2191,929
8011,801107,1018,451,691,1569,1757,1714,2126,1234
8008,800802,704,329,533,1181,1314,1312,1854,1480
8004,800406,325,147,247,510,559,603,962,768
8005,800502,363,176,338,673,696,901,1251,1100
8009,800908,1092,476,780,4066,2524,1953,2871,1203
8021,802103,574,282,446,949,1183,1204,1683,1190
8006,800611,531,238,395,974,1019,1130,1495,1266
8001,800112,684,304,563,1192,1289,1594,2211,1737
8003,800304,739,318,526,1128,1275,1493,2159,1503
8011,801104,845,381,591,1257,1436,1349,1510,864
8015,801501,994,439,718,1697,1800,2077,3391,2353
8012,801218,302,145,300,675,685,837,1006,956
8007,800707,367,188,310,815,858,921,1359,1109
8003,800305,823,368,542,1326,1568,1579,2454,1624
8018,801802,391,178,264,537,752,639,1008,559
8012,801205,370,176,294,806,855,975,1252,1242
8012,801202,760,375,673,1536,1631,1727,2337,2036
8001,800103,1291,617,1138,2498,2201,2167,3392,2656
8013,801304,358,159,258,575,664,697,930,796
8009,800904,910,357,573,1391,1422,1684,2247,1698
8005,800505,280,140,206,462,527,638,957,755
8016,801609,328,178,316,611,675,765,1054,1058
8013,801306,705,336,562,1099,1241,1363,1656,1433
8015,801502,867,403,708,1366,1478,1846,2564,1726
8013,801305,1135,508,821,1762,2017,2098,2603,1951
8019,801903,257,124,209,458,525,532,709,506
8007,800709,606,321,524,1081,1271,1212,1493,843
8004,800416,557,259,441,938,1030,1167,1625,1292
8014,801403,471,213,381,866,821,1150,1476,1291
8004,800401,585,240,376,913,1021,1086,1565,1177
8012,801204,212,93,170,391,483,571,801,744
8009,800902,1068,391,653,1713,1995,2088,3270,2084
8007,800701,1022,470,875,1806,1813,1943,2634,1892
8022,802201,1206,588,1003,1979,2392,2606,3560,2459
8020,802004,948,407,684,1736,1752,1964,2576,1819
8023,802302,399,187,322,738,811,982,1178,1005
8008,800810,435,158,287,712,750,794,1110,848
8018,801803,711,328,492,989,1168,1128,1399,831
8008,800811,783,350,575,1131,1365,1387,1863,1144
8009,800911,1077,432,775,1825,1989,1904,2709,1511
8018,801801,745,343,539,995,1224,1307,1624,1035
8016,801603,613,291,478,1077,1174,1302,1448,1394
8006,800607,303,145,281,530,624,718,976,866
8002,800204,1038,496,711,1526,1719,1843,2696,1708
8001,800122,1499,673,1166,2942,3187,3423,5254,3853
8007,800702,359,170,292,664,716,770,1050,760
8001,800106,654,283,460,1110,1244,1387,1761,1320
8006,800603,144,74,161,309,365,435,550,523
8008,800803,1103,512,844,1844,1953,2266,2883,2328
8023,802304,749,348,577,1311,1322,1386,1765,1265
8001,800116,860,360,628,1458,1594,1688,2362,1681
8016,801608,185,104,171,414,370,478,631,626
8001,800121,906,420,710,1661,1814,1772,2591,1442
8003,800303,505,238,406,910,1129,1167,1992,1634
8007,800703,495,263,439,952,1032,1161,1628,1236
8012,801216,347,136,225,697,764,748,942,857
8020,802003,1129,454,786,1835,2055,2305,2783,2044
8011,801101,1441,644,977,2030,2359,2287,3098,1775
8001,800102,1603,777,1382,2805,2486,2357,3388,2490
8008,800801,3169,1368,2353,4824,4968,4638,6143,4296
8009,800909,1290,575,925,2014,2240,2246,2958,1683
8019,801904,790,419,614,1382,1621,1607,1998,1387
8014,801409,1005,433,735,1644,1789,1703,2279,1467
8011,801103,874,414,654,1317,1531,1587,2081,1442
8014,801402,863,410,666,1589,1495,1688,2540,1763
8010,801002,765,332,521,1097,1283,1357,1693,1182
8011,801102,597,259,333,710,937,909,1155,771
8021,802101,767,331,560,1202,1350,1233,1818,921
8004,800415,200,90,155,313,381,448,657,577
8001,800115,1496,622,972,2346,2385,2219,2562,1599
8002,800205,471,188,350,754,870,912,1207,912
8021,802104,671,310,474,1001,1279,1286,1719,987
8004,800404,602,302,450,971,982,1186,1658,1213
8009,800912,596,257,434,883,962,972,1302,892
8009,800905,934,377,551,1372,1561,1554,2017,1353
8004,800407,358,163,239,527,693,657,1016,956
8007,800711,465,216,398,810,943,1117,1441,1149
8001,800108,575,236,399,980,1006,1078,1391,914
8010,801001,888,427,647,1439,1658,1806,2423,1894
8020,802001,654,308,488,1109,1346,1312,1857,1080
8020,802002,793,339,615,1419,1534,1628,2300,1525
8019,801905,644,317,447,1056,1146,1150,1512,905
8009,800906,856,305,517,1405,1531,1570,2264,1469
8009,800910,364,126,224,520,557,556,658,312
8017,801701,1472,651,1145,2259,2367,2152,2722,1255
8001,800119,821,334,541,1503,1610,1653,2387,1913
8012,801213,68,21,44,122,162,163,219,241
8016,801607,130,60,109,270,281,322,450,373
8012,801212,497,210,401,968,1085,1082,1334,907
8011,801106,1015,410,681,1365,1648,1456,1720,903
8012,801211,162,83,115,303,390,437,547,490
8002,800202,376,174,255,654,718,851,1180,945
8006,800605,163,83,131,346,392,475,566,600
8012,801215,169,80,127,406,542,499,642,575
8012,801207,250,103,188,502,582,572,753,799
8006,800604,61,25,35,86,100,168,200,197
8019,801901,152,71,96,195,261,250,328,247
8019,801902,222,89,143,322,407,489,546,491
8007,800706,616,284,467,1000,1139,1147,1425,1048
8017,801704,781,363,586,1204,1298,1244,1380,793
8016,801606,246,128,217,483,561,602,681,672
8017,801702,1848,849,1248,2585,2681,2487,3061,1364
8011,801105,1451,665,1002,2278,2629,2625,3253,2214
8009,800901,2825,1836,3165,4321,4163,4687,6034,3544
8012,801217,218,103,176,454,542,579,710,712
8001,800107,1251,537,870,2099,2433,2519,3364,2034
8012,801210,747,339,605,1351,1469,1306,1809,1298
8012,801214,954,410,715,1613,1992,1760,2413,1526
8001,800120,2860,1176,2027,6304,6058,5300,7977,5206
8012,801203,302,138,243,545,689,720,920,924
8002,800201,699,293,499,1208,1340,1438,2187,1398
8005,800501,457,221,305,649,824,857,1320,893
8001,800114,371,175,296,655,740,864,1144,776
8005,800504,444,246,343,695,788,939,1407,1066
8013,801301,2108,948,1677,3471,3816,4024,5863,3987
8016,801610,135,51,126,302,303,296,465,493
8004,800403,974,430,689,1366,1771,1846,2625,1789
8003,800302,442,180,340,754,830,970,1425,967
8017,801703,918,431,645,1413,1547,1445,1722,914
8007,800705,941,474,751,1527,1780,1627,2135,1122
8008,800806,574,284,472,1121,1205,1439,2111,1699
8022,802203,379,198,286,603,707,843,1102,925
8023,802303,826,400,635,1552,1590,1726,2241,1697
8019,801906,579,282,387,883,1194,1067,1401,1014
8014,801401,1261,508,933,2178,2328,2272,3464,2203
8014,801406,967,398,708,1531,1564,1676,2079,1282
8009,800903,918,367,639,1672,1412,1508,2266,1572
8016,801602,858,374,657,1589,1631,1506,2112,1626
8022,802202,644,317,503,1029,1219,1288,1601,1098
8004,800409,547,252,441,863,878,1040,1448,1012
8016,801601,832,380,649,1433,1487,1547,2341,1911
8008,800804,388,201,323,710,733,722,1078,804
8012,801208,400,185,299,816,905,957,1199,1037
8002,800203,457,230,372,773,869,969,1224,885
