,addrcode,coverage,count
0,100101,100.0,281
1,100102,100.0,265
2,100103,100.0,149
3,100104,100.0,132
4,100105,100.0,268
5,100106,100.0,89
6,100107,100.0,326
7,100108,100.0,80
8,100109,100.0,101
9,100110,100.0,410
10,100111,100.0,195
11,100112,100.0,231
12,100201,91.53,361
13,100202,75.8,325
14,100203,94.5,329
15,100204,100.0,143
16,100301,18.9,1820
17,100302,17.87,580
18,100303,12.87,401
19,100304,16.53,1183
20,100305,25.07,2406
21,100306,20.62,768
22,100307,11.92,274
23,100401,100.0,373
24,100402,100.0,544
25,100403,100.0,320
26,100404,100.0,300
27,100405,100.0,419
28,100502,96.53,7550
29,100508,91.49,7329
30,100601,100.0,7029
31,100608,100.0,7803
32,100701,100.0,577
33,100702,100.0,404
34,100703,100.0,310
35,100704,100.0,827
36,100801,100.0,392
37,100802,100.0,257
38,100803,100.0,453
39,100804,100.0,276
40,100805,100.0,259
41,101001,77.97,8536
42,101002,20.69,1200
43,101102,11.11,199
44,101103,53.93,1345
45,101104,46.42,2536
46,101105,33.69,1272
47,101106,13.68,265
48,101203,100.0,2153
49,101204,60.25,547
50,101301,100.0,174
51,101302,100.0,326
52,101303,100.0,183
53,101401,100.0,2904
54,101501,100.0,219
55,101502,73.68,146
56,101503,95.49,480
57,101504,100.0,631
58,101505,99.21,527
59,101506,100.0,544
60,101507,76.04,471
61,101601,64.91,199
62,101602,64.48,1050
63,101701,100.0,2314
64,101702,100.0,1754
65,101704,100.0,3079
66,101801,100.0,443
67,101802,82.0,400
68,101803,67.89,683
69,101804,100.0,355
70,101901,40.38,646
71,101902,100.0,1126
72,101904,71.14,705
73,101905,39.3,733
74,101907,46.55,263
75,102004,85.24,327
76,102005,82.39,684
77,102006,45.41,251
78,102007,80.34,1616
79,102009,100.0,941
80,102105,13.76,2179
81,102107,40.12,5085
82,102201,67.4,2120
83,102202,59.61,814
84,102206,55.12,276
85,102207,73.95,1188
86,102208,68.21,713
87,102209,87.48,583
88,102210,65.54,274
89,102302,56.51,4383
90,102303,64.05,4362
91,102401,67.69,1008
92,102402,69.35,1854
93,102501,100.0,1418
94,102502,52.97,346
95,102503,100.0,796
96,102504,94.4,796
97,102601,100.0,6378
98,102701,100.0,4328
99,102801,100.0,1563
100,102802,100.0,719
101,102803,100.0,863
102,102902,100.0,2935
103,103001,100.0,4783
104,103002,100.0,1079
105,103003,100.0,3397
106,103004,100.0,1429
107,103005,100.0,2044
108,103101,63.56,399
109,103102,57.2,422
110,103103,96.53,2026
111,103201,80.42,4492
112,103203,68.22,2475
113,103301,64.03,987
114,103302,100.0,829
115,103303,100.0,1202
116,103401,100.0,8690
117,103501,52.43,2004
118,103502,69.48,933
119,103503,77.75,3261
120,103504,69.68,1928
121,103602,95.2,5235
122,103604,100.0,7042
123,103605,60.95,1083
124,103701,100.0,410
125,103702,100.0,671
126,103703,100.0,450
127,103704,100.0,733
128,103801,100.0,9034
129,103802,100.0,3609
130,103901,100.0,718
131,103902,100.0,2368
132,103903,100.0,1276
133,104001,89.72,3405
134,104003,51.62,2668
135,104004,22.99,141
136,104101,100.0,7668
137,104102,100.0,2404
138,104201,66.25,5789
139,104202,29.85,431
140,104203,75.63,4497
141,104301,68.3,3374
142,104302,100.0,5406
143,104401,78.93,8031
144,104501,100.0,2747
145,104502,100.0,1715
146,104503,29.03,19
147,104504,100.0,4467
148,104601,27.01,1801
149,104602,18.44,1183
150,104603,67.24,5707
151,104604,28.4,612
152,104605,25.14,813
153,104701,29.41,1554
154,104801,36.78,1362
155,104802,54.13,2845
156,104901,44.04,1996
157,104902,36.55,3041
158,105001,64.44,9568
