,addrcode,coverage,count
0,800101,100.0,2851
1,800102,88.36,1446
2,800103,100.0,1385
3,800106,12.81,550
4,800107,24.01,1703
5,800108,20.54,822
6,800112,14.47,865
7,800113,25.42,658
8,800114,26.64,313
9,800115,37.97,1258
10,800116,10.35,906
11,800118,36.85,2175
12,800119,11.4,497
13,800120,17.74,2057
14,800121,14.38,1131
15,800122,15.18,1298
16,800201,6.82,465
17,800202,5.92,384
18,800203,19.1,252
19,800204,4.88,678
20,800205,13.61,320
21,800301,1.39,24
22,800302,3.39,246
23,800303,7.2,445
24,800304,2.82,318
25,800305,11.71,446
26,800401,7.76,376
27,800403,4.08,306
28,800404,8.83,472
29,800405,9.96,334
30,800406,4.3,295
31,800407,2.74,99
32,800409,4.87,434
33,800410,8.21,484
34,800415,5.82,278
35,800416,13.87,572
36,800501,2.76,224
37,800502,2.98,483
38,800503,1.55,457
39,800504,2.61,441
40,800505,3.59,207
41,800601,16.06,270
42,800603,7.08,63
43,800604,8.22,81
44,800605,13.71,118
45,800606,14.15,163
46,800607,8.81,177
47,800610,15.24,203
48,800611,5.12,325
49,800612,11.39,452
50,800613,9.19,424
51,800701,11.37,639
52,800702,14.06,724
53,800703,13.46,426
54,800704,3.34,555
55,800705,2.95,531
56,800706,7.95,340
57,800707,8.72,423
58,800708,8.28,153
59,800709,13.48,766
60,800710,5.17,153
61,800711,8.93,625
62,800801,20.35,1114
63,800802,16.04,567
64,800803,12.85,300
65,800804,13.24,168
66,800806,13.0,304
67,800807,8.27,406
68,800809,22.47,220
69,800810,11.55,169
70,800811,5.93,574
71,800813,15.18,525
72,800901,19.5,681
73,800902,24.89,1686
74,800903,11.25,470
75,800904,8.34,2
76,800905,8.68,378
77,800906,3.16,297
78,800907,7.89,244
79,800908,6.41,531
80,800909,6.75,723
81,800910,2.48,122
82,800911,6.05,1392
83,800912,14.42,621
84,800913,7.12,991
85,801001,5.99,457
86,801002,5.95,1025
87,801003,9.85,504
88,801101,8.86,1300
89,801102,11.16,510
90,801103,8.43,616
91,801104,7.04,757
92,801105,7.41,1371
93,801106,7.42,324
94,801107,6.27,903
95,801202,11.04,629
96,801203,12.48,126
97,801204,9.87,109
98,801205,21.74,540
99,801206,12.67,147
100,801207,15.81,150
101,801208,12.48,169
102,801209,9.0,358
103,801210,24.55,840
104,801211,17.29,118
105,801212,23.94,937
106,801213,13.84,90
107,801214,6.55,966
108,801215,8.91,137
109,801216,16.57,486
110,801217,15.83,245
111,801218,18.62,499
112,801301,2.08,173
113,801303,18.27,590
114,801304,6.94,107
115,801305,7.9,328
116,801306,8.14,303
117,801401,18.26,613
118,801402,15.66,312
119,801403,4.74,279
120,801404,17.47,531
121,801405,10.02,455
122,801406,2.07,48
123,801407,5.01,208
124,801408,2.6,127
125,801409,10.14,479
126,801501,10.91,1080
127,801502,8.38,1284
128,801601,8.75,170
129,801602,21.91,179
130,801603,14.05,568
131,801604,1.56,3
132,801605,7.13,178
133,801606,21.68,232
134,801607,18.56,146
135,801608,14.26,100
136,801609,6.76,246
137,801610,9.33,112
138,801611,17.81,947
139,801701,6.23,433
140,801702,5.27,918
141,801703,8.24,327
142,801704,6.44,197
143,801801,7.5,439
144,801802,1.95,61
145,801803,7.42,389
146,801901,9.24,391
147,801902,5.65,44
148,801903,8.1,123
149,801904,8.78,919
150,801905,6.53,527
151,801906,3.73,227
152,802001,30.47,812
153,802002,25.35,778
154,802003,23.43,708
155,802004,11.56,582
156,802101,1.96,314
157,802102,1.06,134
158,802103,10.67,329
159,802104,5.05,516
160,802201,1.47,15
161,802202,13.27,455
162,802203,6.05,369
163,802301,9.26,12
164,802302,18.11,275
165,802303,8.43,435
166,802304,15.76,718
