,addrcode,Population,Counts,Pop Density
0,1001,50708,2527,1018.0285083316604
1,1002,91338,1158,1721.0853589598646
2,1003,166831,7432,83.23238874476154
3,1004,37675,1956,1011.1379495437467
4,1005,187466,14879,492.6315236243234
5,1006,145876,14832,569.3832943013272
6,1007,44258,2118,593.2707774798928
7,1008,43959,1637,1890.7096774193549
8,1010,138861,9736,244.620019025473
9,1011,170544,5617,156.11006352635337
10,1012,77036,2700,663.4742916200156
11,1013,23443,683,1813.0703789636505
12,1014,68754,2904,803.2947774272695
13,1015,108266,3018,1377.7806057520997
14,1016,65851,1249,1125.850572747478
15,1017,78120,7147,515.4394299287411
16,1018,68236,1881,1231.696750902527
17,1019,104125,3473,420.5371567043619
18,1020,106661,3819,931.781252729973
19,1021,177638,7264,156.60169439228443
20,1022,124496,5968,698.8660604019311
21,1023,153299,8745,456.00273662918676
22,1024,81456,2862,711.3439874246791
23,1025,92189,3356,840.6802845157761
24,1026,120649,6378,1534.3889100852093
25,1027,142580,4328,1515.3576363056648
26,1028,76168,3145,1129.9213766503487
27,1029,121269,2935,2026.5541443850266
28,1030,154744,12732,510.0497709219157
29,1031,85016,2847,1101.528893495724
30,1032,169559,6967,447.14926160337546
31,1033,95046,3018,773.1088335773549
32,1034,119017,8690,531.5394578178733
33,1035,148664,8126,691.0747489773149
34,1036,166383,13360,487.9266862170088
35,1037,61342,2264,921.3277260438571
36,1038,119301,12643,603.9028094153379
37,1039,67921,4362,562.7723920788798
38,1040,189098,6214,583.6898478254159
39,1041,103578,10072,491.7299658184581
40,1042,196676,10717,485.29622227157205
41,1043,86665,8780,367.6139978791092
42,1044,93884,8031,360.19182812200273
43,1045,110812,8948,698.7325808689072
44,1046,187992,10116,168.37768363353007
45,1047,89508,1554,508.8573052870949
46,1048,77075,4207,160.38579990011652
47,1049,119431,5037,390.46326870892864
48,1050,104142,9568,312.8138892226361
49,8001,267984,19915,52.737287685304906
50,8002,37395,2099,16.613428466073422
51,8003,40858,1479,12.987698273943863
52,8004,65810,3650,16.637635286652223
53,8005,29082,1812,6.447436389151848
54,8006,42319,2276,14.421343547557138
55,8007,86345,5335,12.618538561476372
56,8008,112083,4347,29.369931215198164
57,8009,159573,8138,19.226334414093984
58,8010,26536,1986,13.994821030203624
59,8011,74290,5781,13.54981915943335
60,8012,88143,6546,18.20658628830865
61,8013,62701,1501,21.4345538641406
62,8014,87746,3052,13.964443553225655
63,8015,24427,2364,10.62893793295506
64,8016,64046,2881,16.06435171714942
65,8017,46830,1875,10.932240187129699
66,8018,19186,889,11.909520912736347
67,8019,31431,2231,14.95105267664323
68,8020,43584,2880,32.056722982663885
69,8021,33461,1293,5.073999939344312
70,8022,28535,839,11.461956827365698
71,8023,31130,1440,18.866094966819187
72,8101,116164,2597,14.540456776926334
73,8102,54613,3367,7.04175047707463
74,8103,34184,1471,18.58078543280337
75,8104,76347,5339,7.491661703102661
76,8105,55588,5587,9.311940283505932
77,8106,38412,2803,7.94892754043064
78,8107,24053,2367,9.364390942785063
79,8108,62326,6494,15.072282921497216
