,code,Year,DF,Season,MIN_LST,MAX_LST,AVG_LST,AVG_RF,SUM_RF,Population,Bin,Bowl,Bucket,Misc_Short,Jar,Pottedplant,Tire,Misc_Tall,Total
0,A0101,2015,8,True,35.715357142857144,38.82910714285715,37.59866071428572,58.03041666666666,1521.21,3715,46,7,44,11,2,145,14,12,281
1,A0101,2015,5,False,33.245892857142856,38.80607142857143,35.17366071428571,6.474722222222223,38.848333333333336,3715,46,7,44,11,2,145,14,12,281
2,A0101,2016,0,True,36.07,38.38371428571429,36.920386904761905,62.05983333333334,1598.23,3715,46,7,44,11,2,145,14,12,281
3,A0101,2016,3,False,32.183571428571426,38.09580357142858,35.27418154761905,11.98075,71.8845,3715,46,7,44,11,2,145,14,12,281
4,A0101,2017,2,True,34.53901785714286,37.442142857142855,35.93155357142857,34.37375,895.92,3715,46,7,44,11,2,145,14,12,281
5,A0101,2017,0,False,32.14982142857143,39.2425,35.467994047619044,17.285,103.71,3715,46,7,44,11,2,145,14,12,281
6,A0102,2015,20,True,36.27289285714286,39.80767857142858,38.449205357142866,58.03041666666666,1521.21,11226,12,8,62,2,3,163,11,4,265
7,A0102,2015,8,False,33.373571428571424,38.81455357142858,35.362068452380946,6.474722222222223,38.848333333333336,11226,12,8,62,2,3,163,11,4,265
8,A0102,2016,1,True,36.03,37.976,36.86279761904762,62.05983333333334,1598.23,11226,12,8,62,2,3,163,11,4,265
9,A0102,2016,7,False,32.12710714285714,38.386785714285715,35.24236011904762,11.98075,71.8845,11226,12,8,62,2,3,163,11,4,265
10,A0102,2017,3,True,34.98544642857143,38.037098214285706,36.681299107142856,34.37375,895.92,11226,12,8,62,2,3,163,11,4,265
11,A0102,2017,2,False,32.00482142857143,38.074642857142855,35.159193452380954,17.285,103.71,11226,12,8,62,2,3,163,11,4,265
12,A0103,2015,12,True,36.27289285714286,39.80767857142858,38.449205357142866,58.03041666666666,1521.21,3328,12,6,28,3,2,93,5,0,149
13,A0103,2015,1,False,33.373571428571424,38.81455357142858,35.362068452380946,6.474722222222223,38.848333333333336,3328,12,6,28,3,2,93,5,0,149
14,A0103,2016,2,True,36.03,37.976,36.86279761904762,62.05983333333334,1598.23,3328,12,6,28,3,2,93,5,0,149
15,A0103,2016,2,False,32.12710714285714,38.386785714285715,35.24236011904762,11.98075,71.8845,3328,12,6,28,3,2,93,5,0,149
16,A0103,2017,4,True,34.98544642857143,38.037098214285706,36.681299107142856,34.37375,895.92,3328,12,6,28,3,2,93,5,0,149
17,A0103,2017,0,False,32.00482142857143,38.074642857142855,35.159193452380954,17.285,103.71,3328,12,6,28,3,2,93,5,0,149
18,A0104,2015,7,True,35.62982142857142,38.96183035714286,37.75766071428571,61.20058333333333,1607.75,3309,12,4,29,3,1,78,5,0,132
19,A0104,2015,4,False,33.232053571428565,38.72812500000001,35.210972222222225,6.526944444444443,39.16166666666666,3309,12,4,29,3,1,78,5,0,132
20,A0104,2016,1,True,35.92000000000001,38.05942857142857,36.80481547619048,65.058,1678.31,3309,12,4,29,3,1,78,5,0,132
21,A0104,2016,3,False,31.991892857142854,38.115857142857145,35.05863541666667,10.860916666666666,65.1655,3309,12,4,29,3,1,78,5,0,132
22,A0104,2017,4,True,35.39785714285714,37.46714285714286,36.41161309523809,35.411833333333334,920.61,3309,12,4,29,3,1,78,5,0,132
23,A0104,2017,1,False,32.12285714285714,37.97732142857143,35.293595238095236,16.254833333333334,97.529,3309,12,4,29,3,1,78,5,0,132
24,A0105,2015,5,True,35.715357142857144,38.82910714285715,37.59866071428572,58.03041666666666,1521.21,3214,11,11,61,11,2,156,14,2,268
25,A0105,2015,1,False,33.245892857142856,38.80607142857143,35.17366071428571,6.474722222222223,38.848333333333336,3214,11,11,61,11,2,156,14,2,268
26,A0105,2016,1,True,36.07,38.38371428571429,36.920386904761905,62.05983333333334,1598.23,3214,11,11,61,11,2,156,14,2,268
27,A0105,2016,5,False,32.183571428571426,38.09580357142858,35.27418154761905,11.98075,71.8845,3214,11,11,61,11,2,156,14,2,268
28,A0105,2017,2,True,34.53901785714286,37.442142857142855,35.93155357142857,34.37375,895.92,3214,11,11,61,11,2,156,14,2,268
29,A0105,2017,0,False,32.14982142857143,39.2425,35.467994047619044,17.285,103.71,3214,11,11,61,11,2,156,14,2,268
30,A0106,2015,7,True,35.62982142857142,38.96183035714286,37.75766071428571,61.20058333333333,1607.75,2281,5,3,17,9,0,54,1,0,89
31,A0106,2015,1,False,33.232053571428565,38.72812500000001,35.210972222222225,6.526944444444443,39.16166666666666,2281,5,3,17,9,0,54,1,0,89
32,A0106,2016,3,True,35.92000000000001,38.05942857142857,36.80481547619048,65.058,1678.31,2281,5,3,17,9,0,54,1,0,89
33,A0106,2016,1,False,31.991892857142854,38.115857142857145,35.05863541666667,10.860916666666666,65.1655,2281,5,3,17,9,0,54,1,0,89
34,A0106,2017,1,True,35.39785714285714,37.46714285714286,36.41161309523809,35.411833333333334,920.61,2281,5,3,17,9,0,54,1,0,89
35,A0106,2017,2,False,32.12285714285714,37.97732142857143,35.293595238095236,16.254833333333334,97.529,2281,5,3,17,9,0,54,1,0,89
36,A0107,2015,16,True,35.62982142857142,38.96183035714286,37.75766071428571,61.20058333333333,1607.75,4885,19,11,51,11,4,215,10,5,326
37,A0107,2015,9,False,33.232053571428565,38.72812500000001,35.210972222222225,6.526944444444443,39.16166666666666,4885,19,11,51,11,4,215,10,5,326
38,A0107,2016,2,True,35.92000000000001,38.05942857142857,36.80481547619048,65.058,1678.31,4885,19,11,51,11,4,215,10,5,326
39,A0107,2016,4,False,31.991892857142854,38.115857142857145,35.05863541666667,10.860916666666666,65.1655,4885,19,11,51,11,4,215,10,5,326
40,A0107,2017,2,True,35.39785714285714,37.46714285714286,36.41161309523809,35.411833333333334,920.61,4885,19,11,51,11,4,215,10,5,326
41,A0107,2017,1,False,32.12285714285714,37.97732142857143,35.293595238095236,16.254833333333334,97.529,4885,19,11,51,11,4,215,10,5,326
42,A0108,2015,3,True,35.715357142857144,38.82910714285715,37.59866071428572,58.03041666666666,1521.21,2496,3,3,18,8,1,47,0,0,80
43,A0108,2015,2,False,33.245892857142856,38.80607142857143,35.17366071428571,6.474722222222223,38.848333333333336,2496,3,3,18,8,1,47,0,0,80
44,A0108,2016,5,True,36.07,38.38371428571429,36.920386904761905,62.05983333333334,1598.23,2496,3,3,18,8,1,47,0,0,80
45,A0108,2016,5,False,32.183571428571426,38.09580357142858,35.27418154761905,11.98075,71.8845,2496,3,3,18,8,1,47,0,0,80
46,A0108,2017,1,True,34.53901785714286,37.442142857142855,35.93155357142857,34.37375,895.92,2496,3,3,18,8,1,47,0,0,80
47,A0108,2017,0,False,32.14982142857143,39.2425,35.467994047619044,17.285,103.71,2496,3,3,18,8,1,47,0,0,80
48,A0109,2015,4,True,35.715357142857144,38.82910714285715,37.59866071428572,58.03041666666666,1521.21,1959,4,2,25,1,2,60,7,0,101
49,A0109,2015,1,False,33.245892857142856,38.80607142857143,35.17366071428571,6.474722222222223,38.848333333333336,1959,4,2,25,1,2,60,7,0,101
50,A0109,2016,6,True,36.07,38.38371428571429,36.920386904761905,62.05983333333334,1598.23,1959,4,2,25,1,2,60,7,0,101
51,A0109,2016,1,False,32.183571428571426,38.09580357142858,35.27418154761905,11.98075,71.8845,1959,4,2,25,1,2,60,7,0,101
52,A0109,2017,0,True,34.53901785714286,37.442142857142855,35.93155357142857,34.37375,895.92,1959,4,2,25,1,2,60,7,0,101
53,A0109,2017,2,False,32.14982142857143,39.2425,35.467994047619044,17.285,103.71,1959,4,2,25,1,2,60,7,0,101
54,A0110,2015,13,True,35.62982142857142,38.96183035714286,37.75766071428571,61.20058333333333,1607.75,6811,20,18,88,9,4,255,14,2,410
55,A0110,2015,8,False,33.232053571428565,38.72812500000001,35.210972222222225,6.526944444444443,39.16166666666666,6811,20,18,88,9,4,255,14,2,410
56,A0110,2016,6,True,35.92000000000001,38.05942857142857,36.80481547619048,65.058,1678.31,6811,20,18,88,9,4,255,14,2,410
57,A0110,2016,5,False,31.991892857142854,38.115857142857145,35.05863541666667,10.860916666666666,65.1655,6811,20,18,88,9,4,255,14,2,410
58,A0110,2017,7,True,35.39785714285714,37.46714285714286,36.41161309523809,35.411833333333334,920.61,6811,20,18,88,9,4,255,14,2,410
59,A0110,2017,0,False,32.12285714285714,37.97732142857143,35.293595238095236,16.254833333333334,97.529,6811,20,18,88,9,4,255,14,2,410
60,A0111,2015,3,True,35.62982142857142,38.96183035714286,37.75766071428571,61.20058333333333,1607.75,4600,14,7,38,3,1,122,10,0,195
61,A0111,2015,5,False,33.232053571428565,38.72812500000001,35.210972222222225,6.526944444444443,39.16166666666666,4600,14,7,38,3,1,122,10,0,195
62,A0111,2016,0,True,35.92000000000001,38.05942857142857,36.80481547619048,65.058,1678.31,4600,14,7,38,3,1,122,10,0,195
63,A0111,2016,3,False,31.991892857142854,38.115857142857145,35.05863541666667,10.860916666666666,65.1655,4600,14,7,38,3,1,122,10,0,195
64,A0111,2017,6,True,35.39785714285714,37.46714285714286,36.41161309523809,35.411833333333334,920.61,4600,14,7,38,3,1,122,10,0,195
65,A0111,2017,1,False,32.12285714285714,37.97732142857143,35.293595238095236,16.254833333333334,97.529,4600,14,7,38,3,1,122,10,0,195
66,A0112,2015,3,True,35.62982142857142,38.96183035714286,37.75766071428571,58.03041666666666,1521.21,2884,9,7,48,2,0,155,10,0,231
67,A0112,2015,4,False,33.232053571428565,38.72812500000001,35.210972222222225,6.474722222222223,38.848333333333336,2884,9,7,48,2,0,155,10,0,231
68,A0112,2016,2,True,35.92000000000001,38.05942857142857,36.80481547619048,62.05983333333334,1598.23,2884,9,7,48,2,0,155,10,0,231
69,A0112,2016,0,False,31.991892857142854,38.115857142857145,35.05863541666667,11.98075,71.8845,2884,9,7,48,2,0,155,10,0,231
70,A0112,2017,3,True,35.39785714285714,37.46714285714286,36.41161309523809,34.37375,895.92,2884,9,7,48,2,0,155,10,0,231
71,A0112,2017,2,False,32.12285714285714,37.97732142857143,35.293595238095236,17.285,103.71,2884,9,7,48,2,0,155,10,0,231
72,A0201,2015,50,True,35.62982142857142,38.96183035714286,37.75766071428571,61.20058333333333,1607.75,9126,44,7,80,4,6,195,24,1,361
73,A0201,2015,19,False,33.232053571428565,38.72812500000001,35.210972222222225,6.526944444444443,39.16166666666666,9126,44,7,80,4,6,195,24,1,361
74,A0201,2016,5,True,35.92000000000001,38.05942857142857,36.80481547619048,65.058,1678.31,9126,44,7,80,4,6,195,24,1,361
75,A0201,2016,14,False,31.991892857142854,38.115857142857145,35.05863541666667,10.860916666666666,65.1655,9126,44,7,80,4,6,195,24,1,361
76,A0201,2017,20,True,35.39785714285714,37.46714285714286,36.41161309523809,35.411833333333334,920.61,9126,44,7,80,4,6,195,24,1,361
77,A0201,2017,5,False,32.12285714285714,37.97732142857143,35.293595238095236,16.254833333333334,97.529,9126,44,7,80,4,6,195,24,1,361
78,A0202,2015,16,True,35.62982142857142,38.96183035714286,37.75766071428571,61.20058333333333,1607.75,11431,30,7,89,7,1,166,25,0,325
79,A0202,2015,15,False,33.232053571428565,38.72812500000001,35.210972222222225,6.526944444444443,39.16166666666666,11431,30,7,89,7,1,166,25,0,325
80,A0202,2016,3,True,35.92000000000001,38.05942857142857,36.80481547619048,65.058,1678.31,11431,30,7,89,7,1,166,25,0,325
81,A0202,2016,10,False,31.991892857142854,38.115857142857145,35.05863541666667,10.860916666666666,65.1655,11431,30,7,89,7,1,166,25,0,325
