,code,Year,DF,Season,MIN_LST,MAX_LST,AVG_LST,AVG_RF,SUM_RF,Population,Bin,Bowl,Bucket,Misc_Short,Jar,Pottedplant,Tire,Misc_Tall,Total
0,B0101,2015,31,True,29.513392857142854,32.65473214285714,31.561575892857146,65.89550000000001,1681.6400000000003,43232,370,28,948,16,23,1297,164,5,2851
1,B0101,2015,30,False,27.02267857142857,34.83500000000001,31.458076388888895,30.19688888888889,181.18133333333333,43232,370,28,948,16,23,1297,164,5,2851
2,B0101,2016,51,True,29.100535714285716,32.68071428571429,31.43470833333333,73.531,1859.67,43232,370,28,948,16,23,1297,164,5,2851
3,B0101,2016,34,False,29.92986607142857,34.95526785714286,32.6575193452381,73.98125,443.88750000000005,43232,370,28,948,16,23,1297,164,5,2851
4,B0101,2017,110,True,29.26660714285714,31.695892857142855,30.697062499999998,63.74933333333334,1602.9800000000002,43232,370,28,948,16,23,1297,164,5,2851
5,B0101,2017,125,False,26.95392857142857,31.36013392857143,29.15772470238095,34.485166666666665,206.911,43232,370,28,948,16,23,1297,164,5,2851
6,B0102,2015,5,True,29.004910714285717,32.820928571428574,31.739915178571433,65.89550000000001,1681.6400000000003,17288,142,16,498,20,21,654,93,2,1446
7,B0102,2015,7,False,26.916160714285716,35.23767857142857,31.656227182539684,30.19688888888889,181.18133333333333,17288,142,16,498,20,21,654,93,2,1446
8,B0102,2016,26,True,28.689553571428576,33.215758928571425,31.698729166666666,73.531,1859.67,17288,142,16,498,20,21,654,93,2,1446
9,B0102,2016,17,False,29.315357142857145,35.041714285714285,32.43303125,73.98125,443.88750000000005,17288,142,16,498,20,21,654,93,2,1446
10,B0102,2017,28,True,28.90633928571429,31.662571428571425,30.767221726190474,63.74933333333334,1602.9800000000002,17288,142,16,498,20,21,654,93,2,1446
11,B0102,2017,48,False,26.723000000000006,30.705982142857145,28.905532738095236,34.485166666666665,206.911,17288,142,16,498,20,21,654,93,2,1446
12,B0103,2015,7,True,29.004910714285717,32.820928571428574,31.739915178571433,65.89550000000001,1681.6400000000003,15960,170,15,514,11,16,569,87,3,1385
13,B0103,2015,7,False,26.916160714285716,35.23767857142857,31.656227182539684,30.19688888888889,181.18133333333333,15960,170,15,514,11,16,569,87,3,1385
14,B0103,2016,17,True,28.689553571428576,33.215758928571425,31.698729166666666,73.531,1859.67,15960,170,15,514,11,16,569,87,3,1385
15,B0103,2016,7,False,29.315357142857145,35.041714285714285,32.43303125,73.98125,443.88750000000005,15960,170,15,514,11,16,569,87,3,1385
16,B0103,2017,42,True,28.90633928571429,31.662571428571425,30.767221726190474,63.74933333333334,1602.9800000000002,15960,170,15,514,11,16,569,87,3,1385
17,B0103,2017,40,False,26.723000000000006,30.705982142857145,28.905532738095236,34.485166666666665,206.911,15960,170,15,514,11,16,569,87,3,1385
18,B0106,2015,6,True,28.396785714285713,31.810580357142857,30.442879464285713,72.48333333333333,1847.3599999999997,8219,79,1,205,6,13,208,38,0,550
19,B0106,2015,3,False,27.178392857142853,33.08607142857143,30.555319444444446,39.75327777777778,238.5196666666667,8219,79,1,205,6,13,208,38,0,550
20,B0106,2016,7,True,26.72566964285714,31.865892857142857,30.197571428571433,81.95025,2082.62,8219,79,1,205,6,13,208,38,0,550
21,B0106,2016,4,False,28.452035714285717,34.259910714285716,31.755635416666667,98.67399999999999,592.044,8219,79,1,205,6,13,208,38,0,550
22,B0106,2017,7,True,27.978214285714284,30.29625,29.6370431547619,63.54566666666667,1609.15,8219,79,1,205,6,13,208,38,0,550
23,B0106,2017,4,False,25.97214285714286,30.923214285714284,28.434187500000004,47.187333333333335,283.124,8219,79,1,205,6,13,208,38,0,550
24,B0107,2015,13,True,28.31142857142857,31.884821428571428,30.3946130952381,72.48333333333333,1847.3600000000001,15107,483,8,372,8,50,670,111,1,1703
25,B0107,2015,13,False,26.50705357142857,33.528749999999995,30.224184523809523,39.753277777777775,238.51966666666667,15107,483,8,372,8,50,670,111,1,1703
26,B0107,2016,23,True,26.493482142857147,31.845714285714287,29.863139880952385,81.95025,2082.62,15107,483,8,372,8,50,670,111,1,1703
27,B0107,2016,10,False,28.471642857142854,33.92,31.43823660714286,98.67399999999999,592.044,15107,483,8,372,8,50,670,111,1,1703
28,B0107,2017,30,True,27.756160714285716,30.056160714285717,29.365116071428574,63.54566666666667,1609.15,15107,483,8,372,8,50,670,111,1,1703
