,addrcode,Year,Month,Cases
0,100101,2014,1,0
1,100101,2014,2,0
2,100101,2014,3,0
3,100101,2014,4,0
4,100101,2014,5,0
5,100101,2014,6,0
6,100101,2014,7,0
7,100101,2014,8,0
8,100101,2014,9,0
9,100101,2014,10,0
10,100101,2014,11,1
11,100101,2014,12,0
12,100101,2015,1,1
13,100101,2015,2,0
14,100101,2015,3,0
15,100101,2015,4,0
16,100101,2015,5,2
17,100101,2015,6,0
18,100101,2015,7,3
19,100101,2015,8,3
20,100101,2015,9,0
21,100101,2015,10,0
22,100101,2015,11,9
23,100101,2015,12,2
24,100101,2016,1,2
25,100101,2016,2,0
26,100101,2016,3,0
27,100101,2016,4,0
28,100101,2016,5,0
29,100101,2016,6,0
30,100101,2016,7,0
31,100101,2016,8,0
32,100101,2016,9,0
33,100101,2016,10,0
34,100101,2016,11,0
35,100101,2016,12,1
36,100101,2017,1,0
37,100101,2017,2,0
38,100101,2017,3,0
39,100101,2017,4,0
40,100101,2017,5,0
41,100101,2017,6,0
42,100101,2017,7,0
43,100101,2017,8,0
44,100101,2017,9,1
45,100101,2017,10,1
46,100101,2017,11,0
47,100101,2017,12,0
48,100101,2018,1,0
49,100101,2018,2,0
50,100101,2018,3,0
51,100101,2018,4,0
52,100101,2018,5,0
53,100101,2018,6,0
54,100102,2014,1,1
55,100102,2014,2,1
56,100102,2014,3,0
57,100102,2014,4,0
58,100102,2014,5,0
59,100102,2014,6,0
60,100102,2014,7,0
61,100102,2014,8,0
62,100102,2014,9,1
63,100102,2014,10,0
64,100102,2014,11,0
65,100102,2014,12,0
66,100102,2015,1,0
67,100102,2015,2,0
68,100102,2015,3,0
69,100102,2015,4,1
70,100102,2015,5,3
71,100102,2015,6,2
72,100102,2015,7,1
73,100102,2015,8,4
74,100102,2015,9,2
75,100102,2015,10,8
76,100102,2015,11,5
77,100102,2015,12,4
78,100102,2016,1,4
79,100102,2016,2,1
80,100102,2016,3,0
81,100102,2016,4,0
82,100102,2016,5,0
83,100102,2016,6,0
84,100102,2016,7,1
85,100102,2016,8,0
86,100102,2016,9,0
87,100102,2016,10,0
88,100102,2016,11,1
89,100102,2016,12,2
90,100102,2017,1,0
91,100102,2017,2,0
92,100102,2017,3,1
93,100102,2017,4,1
94,100102,2017,5,0
95,100102,2017,6,0
96,100102,2017,7,1
97,100102,2017,8,1
98,100102,2017,9,1
99,100102,2017,10,0
100,100102,2017,11,0
101,100102,2017,12,0
102,100102,2018,1,0
103,100102,2018,2,0
104,100102,2018,3,0
105,100102,2018,4,0
106,100102,2018,5,2
107,100102,2018,6,0
108,100103,2014,1,0
109,100103,2014,2,1
110,100103,2014,3,0
111,100103,2014,4,0
112,100103,2014,5,2
113,100103,2014,6,0
114,100103,2014,7,0
115,100103,2014,8,0
116,100103,2014,9,0
117,100103,2014,10,0
118,100103,2014,11,1
119,100103,2014,12,0
120,100103,2015,1,0
121,100103,2015,2,0
122,100103,2015,3,0
123,100103,2015,4,0
124,100103,2015,5,1
125,100103,2015,6,0
126,100103,2015,7,0
127,100103,2015,8,2
128,100103,2015,9,3
129,100103,2015,10,6
130,100103,2015,11,0
131,100103,2015,12,0
132,100103,2016,1,0
133,100103,2016,2,2
134,100103,2016,3,0
135,100103,2016,4,0
136,100103,2016,5,0
137,100103,2016,6,0
138,100103,2016,7,0
139,100103,2016,8,2
140,100103,2016,9,0
141,100103,2016,10,0
142,100103,2016,11,0
143,100103,2016,12,0
144,100103,2017,1,0
145,100103,2017,2,0
146,100103,2017,3,0
147,100103,2017,4,0
148,100103,2017,5,0
149,100103,2017,6,0
150,100103,2017,7,1
151,100103,2017,8,2
152,100103,2017,9,1
