X,Y,addrcode,TB_EN,N_TB_IDN
99.89960688,8.14044208,801304,Khuan Koei,801304
100.1646799,8.14045026,800603,Tha Khanan,800603
99.83340489,8.10609387,801904,Thung Pho,801904
99.58494735,8.11338842,800905,Na Mai Phai,800905
99.66948325,8.09858318,800909,Thi Wang,800909
99.45708365,8.08168012,801701,Bang Khan,801701
99.93494544,8.10339005,801903,Khuan Nong Kwa,801903
100.1538476,8.07320284,800611,Karaket,800611
100.0538089,8.27512524,801204,Chamao,801204
99.34643399,8.30500346,801101,Tha Yang,801101
99.84629258,8.25438883,801302,Hin Tok,801302
99.90853033,8.30200519,802003,Thai Samphao,802003
100.2270602,8.29377852,801215,Ban Phoeng,801215
100.0890705,8.28066225,801206,Ko Thuat,801206
100.1495461,8.27814401,801207,Ban Mai,801207
100.212689,8.2460947,801217,Pak Phraek,801217
99.91094711,8.33522121,802001,Na Phru,802001
99.84435658,8.34384772,800305,Khun Thale,800305
99.43512191,8.2859663,801105,Prik,801105
100.2308801,8.32770032,801212,Bang Phra,801212
99.52796602,8.28190588,801003,Kaeo Saen,801003
99.77092648,8.30511926,800302,Lan Saka,800302
100.1460633,8.31483075,801205,Khlong Krabue,801205
100.1839754,8.31398186,801208,Hu Long,801208
99.74220335,8.16426607,800911,Tham Yai,800911
99.4031808,8.18697905,801107,Krung Yan,801107
100.0392961,8.2134728,802302,Don Tro,802302
100.1529192,8.23165166,801213,Bang Taphong,801213
99.57626411,8.20841955,800912,Na Pho,800912
100.2636619,8.20779705,801218,Khanap Nak,801218
100.0812893,8.17690248,802301,Chian Khao,802301
99.82473553,8.17473204,801301,Ron Phibun,801301
99.70127667,8.24311992,800906,Na Luang Sen,800906
100.2561361,8.26258514,801216,Tha Phaya,801216
99.61186436,8.25096724,801001,Na Bon,801001
99.92362386,8.25220182,801303,Sao Thong,801303
99.98165996,8.23250821,802304,Thang Phun,802304
100.1204881,8.24425308,801203,Pa Rakam,801203
99.33663197,8.19378919,801104,Kurae,801104
100.1849467,8.24597145,801211,Bang Sala,801211
99.96135385,8.44909131,800102,Tha Wang,800102
100.1996197,8.39705975,801214,Pak Phanang Fang Tawan Ok,801214
99.45979734,8.4188084,800407,Na Kacha,800407
99.63045633,8.41108264,802203,Suan Khan,802203
99.96636058,8.43429047,800103,Khlang,800103
99.92376569,8.42713495,800118,Pho Sadet,800118
99.50427977,8.39090579,800401,Chawang,800401
99.86728099,8.39943493,800112,Kamphaeng Sao,800112
99.75371864,8.45446835,800304,Kamlon,800304
99.91393194,8.47207798,800106,Tha Rai,800106
100.0423678,8.42750796,800106,Tha Rai,800106
99.47679868,8.45834931,800405,Mai Riang,800405
99.91938319,8.45227063,800115,Na Khian,800115
99.37290178,8.41409208,801801,Tham Phannara,801801
99.81920945,8.41408753,800303,Tha Di,800303
99.27890348,8.39969451,801106,Bang Rup,801106
99.42860454,8.36558988,801103,Thung Yai,801103
99.95260692,8.39847623,800114,Mamuang Song Ton,800114
99.91794462,8.37122022,802002,Na San,802002
100.0123412,8.32542449,800122,Tha Ruea,800122
99.55144551,8.34529108,802202,Lak Chang,802202
100.1652842,8.35981667,801210,Pak Phanang Fang Tawan Tok,801210
99.48677364,8.2551682,801002,Thung Song,801002
99.96629754,8.31093759,802004,Chang Sai,802004
99.64461822,8.34273024,802201,Chang Klang,802201
99.34184704,8.37159773,801102,Thung Sang,801102
99.74209613,8.37432603,800301,Khao Kaeo,800301
99.97185228,8.40750469,800101,Nai Mueang,800101
100.0605965,8.37636568,800119,Bang Chak,800119
99.55385545,8.39048935,800416,Chan Di,800416
99.91245516,8.39946724,800113,Chai Montri,800113
100.1082993,8.3582406,801202,Khlong Noi,801202
98.80336365,8.56315513,810602,Khao Khen,810602
98.88189776,8.54615494,810601,Plai Phraya,810601
