ลำดับที่,รหัสสถานี,ที่ตั้งสถานี,จังหวัด,วันที่ตรวจวัดสภาพอากาศ,ค่าตรวจวัด,ประเภทข้อมูล
1,552401,ฉวาง,นครศรีธรรมราช,6/4/2018,72.00,ความชื้นสัมพัทธ์
2,552401,ฉวาง,นครศรีธรรมราช,6/4/2018,13.00,ความเร็วลมสุงสุด
3,552401,ฉวาง,นครศรีธรรมราช,6/4/2018,0.00,ปริมาณฝน
4,552401,ฉวาง,นครศรีธรรมราช,7/3/2018,77.00,ความชื้นสัมพัทธ์
5,552401,ฉวาง,นครศรีธรรมราช,7/3/2018,13.00,ความเร็วลมสุงสุด
6,552401,ฉวาง,นครศรีธรรมราช,7/3/2018,0.00,ปริมาณฝน
7,552401,ฉวาง,นครศรีธรรมราช,10/3/2018,73.00,ความชื้นสัมพัทธ์
8,552401,ฉวาง,นครศรีธรรมราช,10/3/2018,15.00,ความเร็วลมสุงสุด
9,552401,ฉวาง,นครศรีธรรมราช,10/3/2018,0.00,ปริมาณฝน
10,552401,ฉวาง,นครศรีธรรมราช,11/2/2018,75.00,ความชื้นสัมพัทธ์
11,552401,ฉวาง,นครศรีธรรมราช,11/2/2018,13.00,ความเร็วลมสุงสุด
12,552401,ฉวาง,นครศรีธรรมราช,11/2/2018,0.00,ปริมาณฝน
13,552401,ฉวาง,นครศรีธรรมราช,13/3/2018,76.00,ความชื้นสัมพัทธ์
14,552401,ฉวาง,นครศรีธรรมราช,13/3/2018,12.00,ความเร็วลมสุงสุด
15,552401,ฉวาง,นครศรีธรรมราช,13/3/2018,0.00,ปริมาณฝน
16,552401,ฉวาง,นครศรีธรรมราช,14/1/2018,85.00,ความชื้นสัมพัทธ์
17,552401,ฉวาง,นครศรีธรรมราช,14/1/2018,8.00,ความเร็วลมสุงสุด
18,552401,ฉวาง,นครศรีธรรมราช,14/1/2018,0.00,ปริมาณฝน
19,552401,ฉวาง,นครศรีธรรมราช,18/2/2018,75.00,ความชื้นสัมพัทธ์
20,552401,ฉวาง,นครศรีธรรมราช,18/2/2018,3.00,ความเร็วลมสุงสุด
21,552401,ฉวาง,นครศรีธรรมราช,18/2/2018,0.00,ปริมาณฝน
22,552401,ฉวาง,นครศรีธรรมราช,21/3/2018,70.00,ความชื้นสัมพัทธ์
23,552401,ฉวาง,นครศรีธรรมราช,21/3/2018,6.00,ความเร็วลมสุงสุด
24,552401,ฉวาง,นครศรีธรรมราช,21/3/2018,0.00,ปริมาณฝน
25,552401,ฉวาง,นครศรีธรรมราช,22/4/2018,74.00,ความชื้นสัมพัทธ์
26,552401,ฉวาง,นครศรีธรรมราช,22/4/2018,8.00,ความเร็วลมสุงสุด
27,552401,ฉวาง,นครศรีธรรมราช,22/4/2018,0.00,ปริมาณฝน
28,552401,ฉวาง,นครศรีธรรมราช,24/1/2018,91.00,ความชื้นสัมพัทธ์
