"","Station_Code","Date","Location","Province","Humidity","Rainfall","Temperature","Wind_Speed","Year"
"1",552201,"1/1/2015","นครศรีธรรมราช","นครศรีธรรมราช",81,0,26.3,13,"2015"
"2",552201,"1/1/2016","นครศรีธรรมราช","นครศรีธรรมราช",88,0,26.1,18,"2016"
"3",552201,"1/1/2017","นครศรีธรรมราช","นครศรีธรรมราช",91,0,26.1,17,"2017"
"4",552201,"1/1/2018","นครศรีธรรมราช","นครศรีธรรมราช",94,5,25.1,16,"2018"
"5",552201,"1/10/2015","นครศรีธรรมราช","นครศรีธรรมราช",83,0,27.5,10,"2015"
"6",552201,"1/10/2016","นครศรีธรรมราช","นครศรีธรรมราช",80,0,28.3,12,"2016"
"7",552201,"1/10/2017","นครศรีธรรมราช","นครศรีธรรมราช",84,0,28.2,NA,"2017"
"8",552201,"1/11/2015","นครศรีธรรมราช","นครศรีธรรมราช",95,0,25.5,16,"2015"
"9",552201,"1/11/2016","นครศรีธรรมราช","นครศรีธรรมราช",91,0,26.3,12,"2016"
"10",552201,"1/11/2017","นครศรีธรรมราช","นครศรีธรรมราช",95,0,25.1,NA,"2017"
"11",552201,"1/12/2015","นครศรีธรรมราช","นครศรีธรรมราช",91,0,26.2,16,"2015"
"12",552201,"1/12/2016","นครศรีธรรมราช","นครศรีธรรมราช",96,0,25.2,17,"2016"
"13",552201,"1/12/2017","นครศรีธรรมราช","นครศรีธรรมราช",95,0,25.4,NA,"2017"
"14",552201,"1/2/2015","นครศรีธรรมราช","นครศรีธรรมราช",80,0,25.6,17,"2015"
"15",552201,"1/2/2016","นครศรีธรรมราช","นครศรีธรรมราช",84,0,27.1,15,"2016"
"16",552201,"1/2/2017","นครศรีธรรมราช","นครศรีธรรมราช",90,0,24.8,16,"2017"
"17",552201,"1/2/2018","นครศรีธรรมราช","นครศรีธรรมราช",84,1,27.5,19,"2018"
"18",552201,"1/3/2015","นครศรีธรรมราช","นครศรีธรรมราช",81,0,27,14,"2015"
"19",552201,"1/3/2016","นครศรีธรรมราช","นครศรีธรรมราช",82,0,27.4,14,"2016"
"20",552201,"1/3/2017","นครศรีธรรมราช","นครศรีธรรมราช",83,0,27.3,16,"2017"
"21",552201,"1/3/2018","นครศรีธรรมราช","นครศรีธรรมราช",82,0,27.5,14,"2018"
"22",552201,"1/4/2015","นครศรีธรรมราช","นครศรีธรรมราช",77,0,28.7,0,"2015"
"23",552201,"1/4/2016","นครศรีธรรมราช","นครศรีธรรมราช",78,0,27.3,14,"2016"
"24",552201,"1/4/2017","นครศรีธรรมราช","นครศรีธรรมราช",84,0,27.2,14,"2017"
"25",552201,"1/4/2018","นครศรีธรรมราช","นครศรีธรรมราช",89,9.7,26.5,14,"2018"
"26",552201,"1/5/2015","นครศรีธรรมราช","นครศรีธรรมราช",76,0,28.6,13,"2015"
"27",552201,"1/5/2016","นครศรีธรรมราช","นครศรีธรรมราช",79,0,29.9,14,"2016"
"28",552201,"1/5/2017","นครศรีธรรมราช","นครศรีธรรมราช",81,0,28.8,14,"2017"
"29",552201,"1/6/2015","นครศรีธรรมราช","นครศรีธรรมราช",80,0,28.2,10,"2015"
"30",552201,"1/6/2016","นครศรีธรรมราช","นครศรีธรรมราช",84,0,28.1,13,"2016"
"31",552201,"1/6/2017","นครศรีธรรมราช","นครศรีธรรมราช",81,0,29.5,NA,"2017"
"32",552201,"1/6/2018","นครศรีธรรมราช","นครศรีธรรมราช",93,0,28.25,0,"2018"
"33",552201,"1/7/2015","นครศรีธรรมราช","นครศรีธรรมราช",77,0,28.7,19,"2015"
"34",552201,"1/7/2016","นครศรีธรรมราช","นครศรีธรรมราช",81,0,28.5,15,"2016"
"35",552201,"1/7/2017","นครศรีธรรมราช","นครศรีธรรมราช",84,0,28.1,NA,"2017"
"36",552201,"1/8/2015","นครศรีธรรมราช","นครศรีธรรมราช",87,0,26.4,10,"2015"
"37",552201,"1/8/2016","นครศรีธรรมราช","นครศรีธรรมราช",75,0,29,16,"2016"
"38",552201,"1/8/2017","นครศรีธรรมราช","นครศรีธรรมราช",85,0,28.1,NA,"2017"
"39",552201,"1/9/2015","นครศรีธรรมราช","นครศรีธรรมราช",86,0,28,10,"2015"
"40",552201,"1/9/2016","นครศรีธรรมราช","นครศรีธรรมราช",78,0,28.4,11,"2016"
"41",552201,"1/9/2017","นครศรีธรรมราช","นครศรีธรรมราช",86,0,27.4,NA,"2017"
"42",552201,"10/1/2015","นครศรีธรรมราช","นครศรีธรรมราช",87,0,25.6,13,"2015"
"43",552201,"10/1/2016","นครศรีธรรมราช","นครศรีธรรมราช",85,0,26.9,14,"2016"
"44",552201,"10/1/2017","นครศรีธรรมราช","นครศรีธรรมราช",91,133.9,26.3,21,"2017"
"45",552201,"10/1/2018","นครศรีธรรมราช","นครศรีธรรมราช",85,0,27.1,12,"2018"
"46",552201,"10/10/2015","นครศรีธรรมราช","นครศรีธรรมราช",87,34.7,27.1,10,"2015"
"47",552201,"10/10/2016","นครศรีธรรมราช","นครศรีธรรมราช",81,0,28,19,"2016"
