ID,TAM_NAME,Year,Month,Humidity,Rainfall,Temperature,Wind_Speed,subdist_ID
1,ท้องเนียน,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,801503
2,ควนทอง,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,801502
3,ขนอม,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,801501
4,สิชล,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,801401
5,สีขีด,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,801406
6,ทุ่งปรัง,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,801402
7,เขาน้อย,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,801408
8,ฉลอง,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,801403
9,เสาเภา,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,801404
10,เทพราช,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,801407
11,เปลี่ยน,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,801405
12,กลาย,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,800802
13,ตลิ่งชัน,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,800811
14,สระแก้ว,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,800806
15,นบพิตำ,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,802101
16,ท่าขึ้น,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,800803
17,นาเหรง,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,802104
18,กะหรอ,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,802103
19,ไทยบุรี,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,800809
20,ท่าศาลา,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,800801
21,หัวตะพาน,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,800804
22,โพธิ์ทอง,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,800813
23,โมคลาน,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,800807
24,ทอนหงส์,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,800204
25,ปากพูน,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,800120
26,ดอนตะโก,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,800810
27,อินคีรี,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,800203
28,บ้านเกาะ,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,800202
29,พรหมโลก,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,800201
30,นาเรียง,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,800205
31,ท่าซัก,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,800121
32,ท่างิ้ว,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,800116
33,นาทราย,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,800108
34,นาเคียน,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,800115
35,กำโลน,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,800304
36,โพธิ์เสด็จ,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,800118
37,กำแพงเซา,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,800112
38,ท่าดี,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,800303
39,เขาแก้ว,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,800301
40,ลานสกา,2015,1,83.67741935,0.593548387,25.99354839,13.4516129,800302
41,ท้องเนียน,2016,1,84.77419355,0.94516129,27.08709677,13.83870968,801503
42,ควนทอง,2016,1,84.77419355,0.94516129,27.08709677,13.83870968,801502
43,ขนอม,2016,1,84.77419355,0.94516129,27.08709677,13.83870968,801501
44,สิชล,2016,1,84.77419355,0.94516129,27.08709677,13.83870968,801401
45,สีขีด,2016,1,84.77419355,0.94516129,27.08709677,13.83870968,801406
46,ทุ่งปรัง,2016,1,84.77419355,0.94516129,27.08709677,13.83870968,801402
47,เขาน้อย,2016,1,84.77419355,0.94516129,27.08709677,13.83870968,801408
48,ฉลอง,2016,1,84.77419355,0.94516129,27.08709677,13.83870968,801403
49,เสาเภา,2016,1,84.77419355,0.94516129,27.08709677,13.83870968,801404
50,เทพราช,2016,1,84.77419355,0.94516129,27.08709677,13.83870968,801407
51,เปลี่ยน,2016,1,84.77419355,0.94516129,27.08709677,13.83870968,801405
52,กลาย,2016,1,84.77419355,0.94516129,27.08709677,13.83870968,800802
53,ตลิ่งชัน,2016,1,84.77419355,0.94516129,27.08709677,13.83870968,800811
54,สระแก้ว,2016,1,84.77419355,0.94516129,27.08709677,13.83870968,800806
55,นบพิตำ,2016,1,84.77419355,0.94516129,27.08709677,13.83870968,802101
56,ท่าขึ้น,2016,1,84.77419355,0.94516129,27.08709677,13.83870968,800803
57,นาเหรง,2016,1,84.77419355,0.94516129,27.08709677,13.83870968,802104
58,กะหรอ,2016,1,84.77419355,0.94516129,27.08709677,13.83870968,802103
59,ไทยบุรี,2016,1,84.77419355,0.94516129,27.08709677,13.83870968,800809
60,ท่าศาลา,2016,1,84.77419355,0.94516129,27.08709677,13.83870968,800801
61,หัวตะพาน,2016,1,84.77419355,0.94516129,27.08709677,13.83870968,800804
62,โพธิ์ทอง,2016,1,84.77419355,0.94516129,27.08709677,13.83870968,800813
63,โมคลาน,2016,1,84.77419355,0.94516129,27.08709677,13.83870968,800807
