"","TAM_NAME","Year","Week","Humidity","Rainfall","Temperature","Wind_Speed"
"1","ท้องเนียน","2015",1,83,0,26.2,13
"2","ควนทอง","2015",1,83,0,26.2,13
"3","ขนอม","2015",1,83,0,26.2,13
"4","สิชล","2015",1,83,0,26.2,13
"5","สี่ขีด","2015",1,83,0,26.2,13
"6","ทุ่งปรัง","2015",1,83,0,26.2,13
"7","เขาน้อย","2015",1,83,0,26.2,13
"8","ฉลอง","2015",1,83,0,26.2,13
"9","เสาเภา","2015",1,83,0,26.2,13
"10","เทพราช","2015",1,83,0,26.2,13
"11","เปลี่ยน","2015",1,83,0,26.2,13
"12","กราย","2015",1,83,0,26.2,13
"13","ตลิ่งชัน","2015",1,83,0,26.2,13
"14","สระแก้ว","2015",1,83,0,26.2,13
"15","นบพิตำ","2015",1,83,0,26.2,13
"16","ท่าขึ้น","2015",1,83,0,26.2,13
"17","นาเหรง","2015",1,83,0,26.2,13
"18","กะหรอ","2015",1,83,0,26.2,13
"19","ไทยบุรี","2015",1,83,0,26.2,13
"20","ท่าศาลา","2015",1,83,0,26.2,13
"21","หัวตะพาน","2015",1,83,0,26.2,13
"22","โพธิ์ทอง","2015",1,83,0,26.2,13
"23","โมคลาน","2015",1,83,0,26.2,13
"24","ทอนหงส์","2015",1,83,0,26.2,13
"25","ปากพูน","2015",1,83,0,26.2,13
"26","ดอนตะโก","2015",1,83,0,26.2,13
"27","อินคีรี","2015",1,83,0,26.2,13
"28","บ้านเกาะ","2015",1,83,0,26.2,13
"29","พรหมโลก","2015",1,83,0,26.2,13
"30","นาเรียง","2015",1,83,0,26.2,13
"31","ท่าซัก","2015",1,83,0,26.2,13
"32","ท่างิ้ว","2015",1,83,0,26.2,13
"33","นาทราย","2015",1,83,0,26.2,13
"34","นาเคียน","2015",1,83,0,26.2,13
"35","กำโลน","2015",1,83,0,26.2,13
"36","โพธิ์เสด็จ","2015",1,83,0,26.2,13
"37","กำแพงเซา","2015",1,83,0,26.2,13
"38","ท่าดี","2015",1,83,0,26.2,13
"39","เขาแก้ว","2015",1,83,0,26.2,13
"40","ลานสกา","2015",1,83,0,26.2,13
"41","ท้องเนียน","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"42","ควนทอง","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"43","ขนอม","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"44","สิชล","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"45","สี่ขีด","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"46","ทุ่งปรัง","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"47","เขาน้อย","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"48","ฉลอง","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"49","เสาเภา","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"50","เทพราช","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"51","เปลี่ยน","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"52","กราย","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"53","ตลิ่งชัน","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"54","สระแก้ว","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"55","นบพิตำ","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"56","ท่าขึ้น","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"57","นาเหรง","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"58","กะหรอ","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"59","ไทยบุรี","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"60","ท่าศาลา","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"61","หัวตะพาน","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"62","โพธิ์ทอง","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"63","โมคลาน","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"64","ทอนหงส์","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"65","ปากพูน","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"66","ดอนตะโก","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"67","อินคีรี","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"68","บ้านเกาะ","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"69","พรหมโลก","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"70","นาเรียง","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"71","ท่าซัก","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"72","ท่างิ้ว","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"73","นาทราย","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"74","นาเคียน","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"75","กำโลน","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"76","โพธิ์เสด็จ","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"77","กำแพงเซา","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"78","ท่าดี","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"79","เขาแก้ว","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"80","ลานสกา","2016",1,85.3333333333333,0,26.7833333333333,11.8333333333333
"81","ท้องเนียน","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"82","ควนทอง","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"83","ขนอม","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"84","สิชล","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"85","สี่ขีด","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"86","ทุ่งปรัง","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"87","เขาน้อย","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"88","ฉลอง","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"89","เสาเภา","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"90","เทพราช","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"91","เปลี่ยน","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"92","กราย","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"93","ตลิ่งชัน","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"94","สระแก้ว","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"95","นบพิตำ","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"96","ท่าขึ้น","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"97","นาเหรง","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"98","กะหรอ","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"99","ไทยบุรี","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"100","ท่าศาลา","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"101","หัวตะพาน","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"102","โพธิ์ทอง","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"103","โมคลาน","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"104","ทอนหงส์","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"105","ปากพูน","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"106","ดอนตะโก","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"107","อินคีรี","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"108","บ้านเกาะ","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"109","พรหมโลก","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"110","นาเรียง","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"111","ท่าซัก","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"112","ท่างิ้ว","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"113","นาทราย","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"114","นาเคียน","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"115","กำโลน","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"116","โพธิ์เสด็จ","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"117","กำแพงเซา","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"118","ท่าดี","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"119","เขาแก้ว","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"120","ลานสกา","2017",1,95.3333333333333,32.0166666666667,25,17.6666666666667
"121","ท้องเนียน","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"122","ควนทอง","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"123","ขนอม","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"124","สิชล","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"125","สี่ขีด","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"126","ทุ่งปรัง","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"127","เขาน้อย","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"128","ฉลอง","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"129","เสาเภา","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
"130","เทพราช","2018",1,90.5,4.2,25.9333333333333,12.8333333333333
