,Day,Year,addrcode,temperature
0,289,2015,801304,29.08
1,289,2015,801701,30.28
2,289,2015,801204,30.85
3,289,2015,801101,30.01
4,289,2015,801302,26.71
5,289,2015,801215,27.27
6,289,2015,801206,30.63
7,289,2015,801217,28.89
8,289,2015,801105,29.28
9,289,2015,801003,29.59
10,289,2015,800302,26.05
11,289,2015,800911,29.81
12,289,2015,801107,28.85
13,289,2015,801213,28.03
14,289,2015,801218,27.67
15,289,2015,802301,30.67
16,289,2015,801301,28.72
17,289,2015,800906,28.16
18,289,2015,801216,27.99
19,289,2015,801001,29.24
20,289,2015,801303,25.91
21,289,2015,802304,29.91
22,289,2015,801203,30.23
23,289,2015,801104,28.98
24,289,2015,800407,28.57
25,289,2015,800405,30.31
26,289,2015,801801,31.41
27,289,2015,801106,29.98
28,289,2015,801103,30.31
29,289,2015,800122,30.65
30,289,2015,802202,30.33
31,289,2015,801002,27.77
32,289,2015,802004,29.87
33,289,2015,802201,28.46
34,289,2015,801102,29.99
35,289,2015,800416,29.47
36,289,2015,810602,27.71
37,289,2015,810601,27.83
38,289,2015,800807,30.31
39,289,2015,800204,26.67
40,289,2015,800501,26.43
41,289,2015,800120,25.72
42,289,2015,810301,26.64
43,289,2015,810603,28.5
44,289,2015,800403,28.01
45,289,2015,801803,29.92
46,289,2015,800410,30.73
47,289,2015,800406,26.81
48,289,2015,800505,28.55
49,289,2015,800504,27.76
50,289,2015,800121,23.73
51,289,2015,801802,29.93
52,289,2015,800203,25.59
53,289,2015,800404,29.45
54,289,2015,802103,30.11
55,289,2015,800803,32.0
56,289,2015,800503,27.31
57,289,2015,800502,25.42
58,289,2015,800801,32.87
59,289,2015,802104,28.29
60,289,2015,802102,27.32
61,289,2015,800802,28.95
62,289,2015,800811,30.51
63,289,2015,801405,31.41
64,289,2015,800813,32.2
65,289,2015,800804,30.03
66,289,2015,800409,27.02
67,289,2015,801604,29.83
68,289,2015,800704,29.28
69,289,2015,801605,28.83
70,289,2015,801602,27.93
71,289,2015,801704,28.4
72,289,2015,801702,27.34
73,289,2015,801703,28.83
74,289,2015,801603,31.59
75,289,2015,800910,26.46
76,289,2015,801503,27.13
77,289,2015,801501,25.91
78,289,2015,801502,27.35
79,289,2015,801406,27.84
80,289,2015,801409,28.55
81,289,2015,801402,26.91
82,289,2015,801610,28.59
83,289,2015,800710,24.99
84,289,2015,800702,26.33
85,289,2015,800705,28.32
86,289,2015,801609,30.31
87,289,2015,800708,27.03
88,289,2015,800707,32.23
89,289,2015,800711,29.71
90,289,2015,810304,29.59
91,289,2015,810405,28.49
92,289,2015,810803,28.17
93,289,2015,810403,29.82
94,289,2015,810302,29.83
95,289,2015,810305,27.51
