,Day,Year,addrcode,temperature
0,129,2016,104605,
1,129,2016,104604,
2,129,2016,103704,
3,129,2016,100108,
4,129,2016,102002,
5,129,2016,100101,
6,129,2016,103701,
7,129,2016,100110,
8,129,2016,103702,
9,129,2016,100109,
10,129,2016,102001,
11,129,2016,101702,
12,129,2016,100805,
13,129,2016,104203,
14,129,2016,104202,
15,129,2016,104102,
16,129,2016,100111,
17,129,2016,100107,
18,129,2016,101904,
19,129,2016,101906,
20,129,2016,103703,
21,129,2016,103001,
22,129,2016,103002,
23,129,2016,104302,
24,129,2016,103802,
25,129,2016,102902,
26,129,2016,103602,
27,129,2016,101601,
28,129,2016,100801,
29,129,2016,102205,
30,129,2016,103902,
31,129,2016,101302,
32,129,2016,104502,
33,129,2016,104503,
34,129,2016,101903,
35,129,2016,101602,
36,129,2016,103004,
37,129,2016,102702,
38,129,2016,100308,
39,129,2016,102901,
40,129,2016,101801,
41,129,2016,100401,
42,129,2016,100204,
43,129,2016,103601,
44,129,2016,100203,
45,129,2016,100602,
46,129,2016,102004,
47,129,2016,100405,
48,129,2016,100404,
49,129,2016,101001,
50,129,2016,103003,
51,129,2016,102701,
52,129,2016,102502,
53,129,2016,101703,
54,129,2016,101802,
55,129,2016,101502,
56,129,2016,102203,
57,129,2016,103302,
58,129,2016,100702,
59,129,2016,100703,
60,129,2016,100704,
61,129,2016,103901,
62,129,2016,100102,
63,129,2016,102206,
64,129,2016,100403,
65,129,2016,102202,
66,129,2016,100402,
67,129,2016,100206,
68,129,2016,101902,
69,129,2016,102501,
70,129,2016,101401,
71,129,2016,103102,
72,129,2016,103203,
73,129,2016,101701,
74,129,2016,102503,
75,129,2016,101506,
76,129,2016,104001,
77,129,2016,104004,
78,129,2016,103501,
79,129,2016,100901,
80,129,2016,103103,
81,129,2016,102207,
82,129,2016,102204,
83,129,2016,100104,
84,129,2016,103301,
85,129,2016,102005,
86,129,2016,100202,
87,129,2016,102504,
88,129,2016,100201,
89,129,2016,101905,
90,129,2016,101102,
91,129,2016,102003,
92,129,2016,100701,
93,129,2016,104003,
94,129,2016,100802,
95,129,2016,100103,
96,129,2016,103401,
97,129,2016,101501,
98,129,2016,101303,
99,129,2016,102802,
100,129,2016,101507,
101,129,2016,101301,
102,129,2016,102801,
103,129,2016,100803,
104,129,2016,100105,
105,129,2016,100804,
106,129,2016,100106,
107,129,2016,103303,
108,129,2016,101505,
109,129,2016,103101,
110,129,2016,103202,
111,129,2016,103504,
112,129,2016,101202,
113,129,2016,102402,
114,129,2016,103503,
115,129,2016,101504,
116,129,2016,101201,
117,129,2016,101804,
118,129,2016,101503,
119,129,2016,103502,
120,129,2016,104301,
121,129,2016,104504,
122,129,2016,104901,
123,265,2017,100508,
124,265,2017,100112,
125,265,2017,104601,
126,265,2017,104101,
127,265,2017,100302,
128,265,2017,100502,
129,265,2017,100306,
130,265,2017,104603,
131,265,2017,100301,
132,265,2017,100305,
133,265,2017,101002,
134,265,2017,100303,
135,265,2017,104802,
136,265,2017,101104,
137,265,2017,102601,
138,265,2017,100307,
139,265,2017,103201,
140,265,2017,103605,
141,265,2017,100304,
142,265,2017,104201,
143,265,2017,101105,
144,265,2017,101106,
145,265,2017,101101,
146,265,2017,104002,
147,265,2017,102705,
148,265,2017,103801,
149,265,2017,103005,
150,265,2017,100601,
151,265,2017,102303,
152,265,2017,104501,
153,265,2017,104401,
154,265,2017,102105,
155,265,2017,101103,
156,265,2017,101901,
157,265,2017,104801,
158,265,2017,102107,
159,265,2017,101803,
160,265,2017,103903,
161,265,2017,102201,
162,265,2017,102302,
163,265,2017,105001,
164,265,2017,102401,
165,265,2017,104701,
166,265,2017,102803,
167,265,2017,104902,
168,265,2017,104602,
169,233,2014,104605,
