,addrcode,Week,Year,actual,predicted
0,8001,7,2017,0.699668637,0.4034732793839841
1,8001,8,2017,0.55973491,0.28777084525485075
2,8001,9,2017,0.550405994,0.573734504816421
3,8001,10,2017,0.59705057,0.386902606422499
4,8001,11,2017,0.522419249,0.37717803723674853
5,8001,12,2017,0.606379485,0.34129693560297564
6,8001,13,2017,0.634366231,0.5619625066506436
7,8001,14,2017,0.615708401,0.5607197401280554
8,8001,15,2017,0.681010807,0.49028052281115736
9,8001,16,2017,0.643695146,0.7360405019080298
10,8001,17,2017,0.643695146,0.19430198547057204
11,8001,18,2017,0.653024061,0.3463959258148378
12,8001,19,2017,0.699668637,0.477103322731856
13,8001,20,2017,0.708997552,0.5154466844832776
14,8001,21,2017,0.643695146,0.47980234670786165
15,8001,22,2017,0.671681891,0.31276770085762046
16,8001,23,2017,0.606379485,0.8527072311956431
17,8001,24,2017,0.587721655,0.5493381395777267
18,8001,25,2017,0.59705057,0.45303127050593833
19,8001,26,2017,0.485103588,0.5176344004370305
20,8001,27,2017,0.541077079,0.5952961816519735
21,8001,28,2017,0.541077079,0.5362222538809059
22,8001,29,2017,0.681010807,0.6007520112563841
23,8001,30,2017,0.783628873,0.40787940582170873
24,8001,31,2017,0.727655382,0.46912613435982414
25,8001,32,2017,0.755642128,0.3888430902888669
26,8001,33,2017,0.671681891,0.5616374896933002
27,8001,34,2017,0.671681891,0.6141260841090871
28,8001,35,2017,0.643695146,0.9417482279564308
29,8001,36,2017,0.55973491,0.7077091394181548
30,8001,37,2017,0.513090334,0.656834488224806
31,8001,38,2017,0.49443250299999997,0.573734504816421
32,8001,39,2017,0.541077079,0.4890266709616525
33,8001,40,2017,0.550405994,1.0018128008974159
34,8001,41,2017,0.606379485,0.48334129953152255
35,8001,42,2017,0.615708401,0.9637073782559711
36,8001,43,2017,0.615708401,0.36449971471643267
37,8001,44,2017,0.727655382,0.6590889485090966
38,8001,45,2017,0.653024061,0.3864912742945274
39,8001,46,2017,0.615708401,0.6697047094599963
40,8001,47,2017,0.690339722,0.7517384998603628
41,8001,48,2017,0.653024061,0.500201285257182
42,8001,49,2017,0.625037316,0.5153513400695598
43,8001,50,2017,0.6467980489999999,0.4049138026288637
44,8001,51,2017,0.480429027,0.589821929263096
45,8002,7,2017,0.33426928699999997,0.4777091183056637
46,8002,8,2017,0.200561572,0.45053342008865555
47,8002,9,2017,0.200561572,0.36510075589844254
48,8002,10,2017,0.26741543,0.36510075589844254
49,8002,11,2017,0.200561572,0.47304022980499677
50,8002,12,2017,0.200561572,1.1542585232039206
51,8002,13,2017,0.26741543,1.1542585232039206
52,8002,14,2017,0.200561572,0.7041596338346341
53,8002,15,2017,0.26741543,0.326731798306443
54,8002,16,2017,0.33426928699999997,0.526094564782743
55,8002,17,2017,0.46797700200000003,0.35505330852340183
56,8002,18,2017,0.46797700200000003,0.326731798306443
57,8002,19,2017,0.668538575,0.526094564782743
58,8002,20,2017,0.601684717,0.35505330852340183
59,8002,21,2017,0.401123145,0.526094564782743
60,8002,22,2017,0.401123145,0.47304022980499677
61,8002,23,2017,0.33426928699999997,0.6778876639158878
62,8002,24,2017,0.53483086,0.4932248193753193
63,8002,25,2017,0.601684717,0.6563019360968748
64,8002,26,2017,0.601684717,0.6586072455130406
65,8002,27,2017,0.53483086,0.2606893344204301
66,8002,28,2017,0.401123145,0.19403687971986744
67,8002,29,2017,0.33426928699999997,0.49074307872141404
68,8002,30,2017,0.401123145,0.6150832113964283
69,8002,31,2017,0.33426928699999997,0.7998218573372572
70,8002,32,2017,0.668538575,0.6068154896049128
