,addrcode,Week,Year,actual,predicted
0,810103,7,2017,0.442086649,0.10000138960903035
1,810103,8,2017,0.442086649,0.10000138960903035
2,810103,9,2017,0.294724433,0.46551580786378544
3,810103,10,2017,0.589448865,0.46551580786378544
4,810103,11,2017,0.589448865,0.509773073908915
5,810103,12,2017,0.589448865,0.6154818690825457
6,810103,13,2017,0.736811082,0.8135781491659605
7,810103,14,2017,0.589448865,0.8135781491659605
8,810103,15,2017,0.442086649,0.2880065601873224
9,810103,16,2017,0.442086649,0.46551580786378544
10,810103,17,2017,0.294724433,0.46551580786378544
11,810103,18,2017,0.442086649,0.46551580786378544
12,810103,19,2017,0.589448865,0.509773073908915
13,810103,20,2017,0.736811082,0.46551580786378544
14,810103,21,2017,0.736811082,0.8135781491659605
15,810103,22,2017,0.884173298,0.8135781491659605
16,810103,23,2017,1.178897731,0.2880065601873224
17,810103,24,2017,1.031535514,0.8135781491659605
18,810103,25,2017,1.178897731,0.46551580786378544
19,810103,26,2017,0.589448865,0.509773073908915
20,810103,27,2017,0.147362216,0.509773073908915
21,810103,28,2017,0.147362216,0.6154818690825457
22,810103,29,2017,0.147362216,0.7613032210468015
23,810103,30,2017,0.294724433,0.7906328166036906
24,810103,31,2017,0.442086649,0.7613032210468015
25,810103,32,2017,0.736811082,0.46551580786378544
26,810103,33,2017,0.884173298,0.2262669697774601
27,810103,34,2017,0.884173298,0.2262669697774601
28,810103,35,2017,0.884173298,0.2262669697774601
29,810103,36,2017,0.589448865,0.2880065601873224
30,810103,37,2017,0.442086649,0.8135781491659605
31,810103,38,2017,0.589448865,0.509773073908915
32,810103,39,2017,0.442086649,0.6154818690825457
33,810103,40,2017,1.031535514,0.6154818690825457
34,810103,41,2017,1.031535514,0.6154818690825457
35,810103,42,2017,0.736811082,0.46551580786378544
36,810103,43,2017,0.884173298,0.8135781491659605
37,810103,44,2017,0.589448865,0.46551580786378544
38,810103,45,2017,0.884173298,0.8135781491659605
39,810103,46,2017,1.031535514,0.7906328166036906
40,810103,47,2017,1.031535514,0.7906328166036906
41,810103,48,2017,0.736811082,0.509773073908915
42,810103,49,2017,0.442086649,0.6154818690825457
43,810103,50,2017,0.294724433,0.46551580786378544
44,810103,51,2017,0.147362216,0.6154818690825457
45,810105,7,2017,0.2387090610000001,0.06088710545290191
46,810105,8,2017,0.2387090610000001,0.06088710545290191
47,810105,9,2017,0.47741812299999997,0.06088710545290191
48,810105,10,2017,0.47741812299999997,0.10000138960903035
49,810105,11,2017,0.2387090610000001,0.10000138960903035
50,810105,12,2017,0.2387090610000001,0.10000138960903035
51,810105,13,2017,0.2387090610000001,0.06088710545290191
52,810105,14,2017,0.2387090610000001,0.06088710545290191
53,810105,15,2017,0.47741812299999997,0.3477787431085786
54,810105,16,2017,0.7161271840000001,0.3477787431085786
55,810105,17,2017,0.47741812299999997,0.06088710545290191
