addrcode,SMAPE without CD,SMAPE with CD,% improve SMAPE,RMSE without CD,RMSE with CD,% improvve RMSE,MAE without CD,MAE with CD,% improve MAE
1001,72.242,67.931,0.060,0.206,0.246,-0.195,0.157,0.176,-0.118
1002,88.173,91.804,-0.041,0.620,0.839,-0.353,0.415,0.584,-0.410
1003,72.261,63.544,0.121,0.292,0.225,0.230,0.189,0.171,0.095
1004,83.120,74.848,0.100,0.979,0.840,0.142,0.656,0.529,0.194
1005,63.133,60.537,0.041,0.193,0.155,0.194,0.132,0.108,0.179
1006,78.673,68.369,0.131,0.510,0.468,0.081,0.364,0.337,0.075
1007,73.603,46.290,0.371,0.216,0.143,0.338,0.175,0.110,0.372
1008,62.066,59.208,0.046,0.350,0.364,-0.039,0.232,0.255,-0.099
1010,74.181,78.439,-0.057,0.360,0.393,-0.091,0.232,0.277,-0.194
1011,56.791,50.629,0.109,0.179,0.156,0.126,0.120,0.112,0.063
1012,66.934,55.977,0.164,0.445,0.414,0.069,0.280,0.247,0.116
1013,108.675,109.017,-0.003,0.588,0.568,0.035,0.405,0.398,0.016
1014,59.618,54.348,0.088,0.310,0.269,0.133,0.238,0.211,0.113
1015,48.006,45.598,0.050,0.129,0.194,-0.501,0.107,0.138,-0.283
1016,80.638,81.646,-0.012,0.659,0.755,-0.146,0.421,0.463,-0.099
1017,65.657,66.524,-0.013,0.703,0.807,-0.148,0.476,0.518,-0.086
1018,96.794,84.571,0.126,0.314,0.336,-0.068,0.243,0.240,0.011
1019,43.413,40.959,0.057,0.338,0.399,-0.181,0.214,0.207,0.035
1020,83.199,65.494,0.213,0.430,0.413,0.040,0.329,0.269,0.181
1021,46.613,49.753,-0.067,0.157,0.193,-0.228,0.125,0.143,-0.145
1022,63.868,49.738,0.221,0.244,0.284,-0.162,0.185,0.178,0.041
1023,67.709,63.900,0.056,0.242,0.270,-0.112,0.180,0.202,-0.119
1024,43.407,53.040,-0.222,0.243,0.219,0.096,0.153,0.166,-0.085
1025,66.493,73.366,-0.103,0.432,0.709,-0.639,0.312,0.463,-0.482
1026,60.824,67.127,-0.104,0.687,0.843,-0.228,0.444,0.598,-0.347
1027,64.367,68.999,-0.072,0.461,0.465,-0.008,0.316,0.354,-0.118
1028,85.041,79.800,0.062,0.161,0.139,0.137,0.114,0.105,0.077
1029,111.036,109.692,0.012,0.374,0.311,0.169,0.238,0.221,0.074
1030,68.400,61.968,0.094,0.655,0.726,-0.109,0.458,0.517,-0.129
1031,67.848,62.442,0.080,0.185,0.150,0.189,0.131,0.115,0.120
1032,43.555,36.411,0.164,0.126,0.117,0.067,0.096,0.087,0.095
1033,66.590,63.406,0.048,0.451,0.398,0.117,0.320,0.301,0.060
1034,60.972,52.275,0.143,0.401,0.335,0.166,0.290,0.249,0.142
1035,46.639,41.227,0.116,0.177,0.227,-0.277,0.145,0.157,-0.085
1036,77.679,57.961,0.254,0.137,0.117,0.147,0.112,0.091,0.186
1037,70.234,74.054,-0.054,0.382,0.358,0.063,0.259,0.270,-0.041
1038,72.891,62.128,0.148,0.669,0.365,0.454,0.421,0.289,0.315
1039,69.320,63.414,0.085,0.763,0.702,0.081,0.512,0.458,0.105
1040,58.153,58.999,-0.015,0.323,0.322,0.000,0.223,0.239,-0.073
1041,54.824,55.136,-0.006,0.177,0.192,-0.084,0.124,0.143,-0.151
1042,68.162,62.899,0.077,0.120,0.147,-0.223,0.088,0.095,-0.081
1043,69.448,64.774,0.067,0.301,0.327,-0.085,0.219,0.243,-0.109
1044,64.441,78.129,-0.212,0.522,0.516,0.012,0.342,0.328,0.039
1045,89.360,79.547,0.110,0.650,0.879,-0.353,0.490,0.601,-0.226
1046,73.869,69.142,0.064,0.598,0.386,0.355,0.396,0.289,0.270
1047,63.934,60.061,0.061,0.171,0.149,0.128,0.131,0.119,0.089
1048,88.767,89.920,-0.013,0.641,0.602,0.062,0.414,0.407,0.016
1049,61.379,48.889,0.203,0.168,0.109,0.348,0.125,0.089,0.290
1050,74.858,76.566,-0.023,0.317,0.352,-0.111,0.241,0.279,-0.156
,69.344,65.316,6%,0.383,0.386,-1%,0.265,0.268,-1%
