addrcode,SMAPE without CD,SMAPE with CD,% improve SMAPE,RMSE without CD,RMSE with CD,% improvve RMSE,MAE without CD,MAE with CD,% improve MAE
8001,31.81118262,24.67905831,0.224201797,0.214698075,0.199979562,0.068554472,0.178950007,0.156214296,0.12705063
8002,49.59500377,48.33409349,0.025424139,0.323840002,0.300186319,0.073041262,0.257183283,0.240741326,0.063930892
8003,75.47172434,65.4925556,0.13222394,0.494222305,0.473476469,0.04197673,0.405413909,0.393037929,0.030526777
8004,48.09138468,51.40409727,-0.068883702,0.305632902,0.288807701,0.055050359,0.234333858,0.242687451,-0.035648251
8005,52.33547047,68.5105462,-0.309065259,0.395186312,0.56102662,-0.419650942,0.307118836,0.432807889,-0.409252179
8006,51.18697055,55.3323078,-0.080984227,0.178891705,0.229765464,-0.284382999,0.135563867,0.175257772,-0.292805935
8007,54.08028197,84.48611766,-0.562235154,0.151514317,0.19327756,-0.275638919,0.114645582,0.152550332,-0.330625476
8008,45.81401354,47.6474519,-0.04001916,0.139960041,0.190817271,-0.36336964,0.115040282,0.139456559,-0.212241108
8009,62.0803899,74.44926034,-0.199239574,0.264953661,0.313800071,-0.18435831,0.216061293,0.26185602,-0.211952476
8010,53.77869595,65.79727652,-0.223482187,0.387244349,0.490761345,-0.267316995,0.288504089,0.383873038,-0.330563597
8011,67.19383586,76.42839152,-0.137431589,0.145721771,0.116114684,0.203175452,0.120722169,0.097746374,0.190319599
8012,58.15213808,67.89227786,-0.167494096,0.201703747,0.238843568,-0.184130545,0.164538013,0.193830523,-0.178028832
8013,62.20848426,70.38951055,-0.131509815,0.186349523,0.194032894,-0.041230966,0.143500113,0.147793402,-0.029918364
8014,89.81881533,100.8273021,-0.122563259,0.325896915,0.326785481,-0.002726525,0.211461823,0.244736544,-0.157355692
8015,82.40966295,72.07745759,0.125376139,0.589200557,0.524050513,0.110573629,0.445919661,0.408774892,0.08329924
8016,64.83752601,69.45383565,-0.071198115,0.240679726,0.243753069,-0.012769432,0.18946254,0.201743432,-0.064819634
8017,98.98787322,96.65006983,0.023617069,0.309491038,0.3262029,-0.053997887,0.244498931,0.246565986,-0.008454247
8018,141.8020414,167.5587762,-0.181638675,0.122476922,0.144037897,-0.176041125,0.102700514,0.106178801,-0.033868254
8019,88.5716766,106.5764892,-0.203279573,0.324377108,0.319440579,0.01521849,0.232168441,0.252360928,-0.086973436
8020,57.27096349,53.75999115,0.06130458,0.479408495,0.616505803,-0.285971796,0.378920983,0.471956667,-0.245527929
8021,60.7133202,73.44685155,-0.209732087,0.306916438,0.436687524,-0.422822209,0.231461589,0.331838175,-0.433664118
8022,65.34215844,59.50153944,0.089385156,0.340550182,0.311107696,0.086455647,0.272090637,0.243634424,0.104583581
8023,87.88071217,92.23985856,-0.049602993,0.286615429,0.307773042,-0.073818822,0.206660274,0.241717538,-0.169637171
,67.36670982,73.60587462,-0.090296811,0.291979631,0.319444958,-0.104094829,0.225953074,0.250754795,-0.114418521
