addrcode,SMAPE without CD,SMAPE with CD,% improve SMAPE,RMSE without CD,RMSE with CD,% improvve RMSE,MAE without CD,MAE with CD,% improve MAE
1001,72.24248419,69.5449174,0.037340449,0.206074819,0.244784989,-0.187845222,0.157165409,0.181492404,-0.154785937
1002,88.17265584,91.13941698,-0.033647179,0.620096101,0.872210088,-0.406572443,0.414550403,0.568745063,-0.371956364
1003,72.26076673,59.97693021,0.169993166,0.292286246,0.274505023,0.060834963,0.189326318,0.16858177,0.109570332
1004,83.11991675,78.36488843,0.057206846,0.979193931,0.898918583,0.081981052,0.655715792,0.603443637,0.079717701
1005,63.13254422,58.77935337,0.068953198,0.192615486,0.156262723,0.188732294,0.131718219,0.106744417,0.189600209
1006,78.67293489,68.13025852,0.134006395,0.509891874,0.464950717,0.088138602,0.363829884,0.32643039,0.102793904
1007,73.60308868,57.63515158,0.216946563,0.21616645,0.186986906,0.134986462,0.17484566,0.140875606,0.194285944
1008,62.06644705,67.37952884,-0.085603124,0.350347264,0.424759738,-0.212396333,0.231788659,0.298254037,-0.286749913
1010,74.18132315,86.4509154,-0.165400019,0.360104781,0.376081206,-0.044366048,0.232453344,0.285743791,-0.229252228
1011,56.790838,41.88818508,0.262412978,0.178613648,0.122137148,0.316193643,0.119971355,0.089657666,0.252674394
1012,66.93437518,61.00819039,0.088537239,0.444837779,0.356304229,0.19902435,0.279735962,0.249153155,0.109327405
1013,108.6748039,105.684414,0.027516865,0.588462569,0.579331362,0.015517057,0.404793108,0.397899661,0.017029554
1014,59.61824843,65.86573914,-0.104791584,0.309986797,0.345182274,-0.113538633,0.238251249,0.268655482,-0.127614162
1015,48.00611105,53.37461169,-0.111829526,0.129345477,0.230756184,-0.784029789,0.107446724,0.165380575,-0.539186757
1016,80.63846735,91.69795183,-0.137148992,0.658857771,0.680576629,-0.032964411,0.421137224,0.434701859,-0.032209537
1017,65.65709449,69.82977119,-0.063552564,0.702808444,0.825275652,-0.174254037,0.476496604,0.525170212,-0.102148909
1018,96.79409685,94.13755387,0.0274453,0.314128465,0.359940797,-0.145839481,0.242598627,0.265010006,-0.092380487
1019,43.41257391,40.63655002,0.063945158,0.337803861,0.375203099,-0.11071288,0.214429141,0.214279009,0.000700149
1020,83.1992547,62.21768909,0.252184538,0.430020493,0.372841935,0.132967054,0.328815895,0.256031359,0.221353459
1021,46.61279253,45.05864743,0.0333416,0.15738976,0.180886963,-0.149293086,0.12478963,0.131213219,-0.051475345
1022,63.86802877,50.81323544,0.204402634,0.24406353,0.238970176,0.020868968,0.18544608,0.169900473,0.083828179
1023,67.70853131,55.67490486,0.177726886,0.242466477,0.223643987,0.077629247,0.180290435,0.17243967,0.043545103
1024,43.40707585,54.52524666,-0.256137291,0.242506165,0.218000142,0.101053195,0.153338942,0.161506925,-0.053267506
1025,66.49344549,69.45737599,-0.044574777,0.432482814,0.615994896,-0.424322251,0.312489764,0.411507986,-0.31686869
1026,60.82433075,53.89835307,0.113868539,0.6868995,0.590221162,0.140745973,0.444044216,0.405225123,0.087421685
1027,64.36736956,72.86849624,-0.132071992,0.461192809,0.570293294,-0.236561548,0.316228677,0.415554387,-0.314094569
1028,85.04081483,87.50327051,-0.028956163,0.161213968,0.163816609,-0.016144018,0.113868473,0.125182785,-0.099362992
1029,111.0364433,101.901729,0.082267714,0.374439209,0.325807254,0.129879441,0.23844118,0.234546522,0.016333832
1030,68.40046405,64.77038218,0.053071012,0.654591348,0.723744929,-0.105643898,0.458162491,0.505362258,-0.103019711
1031,67.84789557,65.98413769,0.027469649,0.184874653,0.138568301,0.250474315,0.13102813,0.111613362,0.148172521
1032,43.55517911,39.37559855,0.095960587,0.125686378,0.126243858,-0.004435488,0.096174668,0.092263927,0.040662897
1033,66.59029826,66.31798729,0.004089349,0.450834539,0.513421934,-0.138825643,0.320315059,0.356520107,-0.11302949
1034,60.97244992,53.74655658,0.118510792,0.401304673,0.373022211,0.070476283,0.289896938,0.263799287,0.09002389
1035,46.63909709,36.02869235,0.227500218,0.177458649,0.18578552,-0.046922882,0.144707101,0.136273235,0.058282317
1036,77.67911874,52.46565781,0.324584796,0.137422788,0.141874694,-0.032395691,0.111695467,0.095504716,0.14495441
1037,70.23427865,79.6333275,-0.133824238,0.381563414,0.441542056,-0.157191805,0.259406044,0.320517849,-0.235583583
1038,72.8910291,72.07113149,0.011248265,0.668873045,0.429607857,0.357713904,0.421242314,0.322708627,0.23391213
1039,69.32029093,65.2932128,0.058093786,0.763300383,0.710989561,0.068532419,0.51186359,0.469607007,0.082554383
1040,58.15318186,61.62778396,-0.059749131,0.32251561,0.309149297,0.041443928,0.222935615,0.227889471,-0.02222102
1041,54.82391503,54.03285449,0.014429114,0.176823866,0.193689095,-0.09537869,0.124193597,0.141176668,-0.136746751
