addrcode,SMAPE without CD,SMAPE with CD,% improve SMAPE,RMSE without CD,RMSE with CD,% improvve RMSE,MAE without CD,MAE with CD,% improve MAE
100101,193.26,184.83,0.04,0.38,0.42,-0.11,0.26,0.38,-0.48
100102,143.57,167.90,-0.17,0.11,0.13,-0.17,0.11,0.10,0.03
100103,181.08,169.67,0.06,0.60,0.59,0.03,0.41,0.47,-0.14
100104,163.36,163.98,0.00,0.67,0.70,-0.05,0.53,0.54,-0.02
100105,185.75,182.62,0.02,0.67,0.71,-0.06,0.43,0.47,-0.10
100106,196.73,192.09,0.02,0.31,0.39,-0.28,0.20,0.33,-0.70
100107,174.13,163.40,0.06,0.21,0.25,-0.19,0.18,0.25,-0.35
100108,195.04,188.96,0.03,0.45,0.47,-0.05,0.29,0.40,-0.39
100109,197.16,187.71,0.05,0.39,0.65,-0.67,0.22,0.65,-1.93
100110,173.31,160.66,0.07,0.44,0.55,-0.24,0.32,0.40,-0.25
100111,139.66,125.04,0.10,0.53,0.51,0.03,0.40,0.41,-0.04
100112,165.31,157.50,0.05,0.53,0.65,-0.22,0.44,0.55,-0.25
100201,72.90,64.21,0.12,0.30,0.35,-0.17,0.22,0.24,-0.08
100202,132.93,154.65,-0.16,0.50,0.89,-0.78,0.33,0.54,-0.63
100203,140.24,138.75,0.01,0.21,0.23,-0.08,0.18,0.20,-0.08
100204,115.40,116.94,-0.01,1.37,1.36,0.01,0.88,0.93,-0.05
100301,86.90,84.31,0.03,0.40,0.41,-0.03,0.29,0.29,0.00
100302,130.92,119.60,0.09,0.54,0.52,0.02,0.41,0.38,0.07
100303,135.87,143.04,-0.05,0.34,0.37,-0.09,0.26,0.28,-0.08
100304,160.59,151.71,0.06,0.32,0.41,-0.32,0.23,0.29,-0.27
100305,95.81,97.73,-0.02,0.33,0.35,-0.07,0.23,0.26,-0.14
100306,132.02,134.13,-0.02,0.24,0.27,-0.13,0.18,0.21,-0.17
100307,89.16,89.09,0.00,0.23,0.32,-0.42,0.19,0.23,-0.17
100401,91.71,89.79,0.02,0.58,0.58,0.01,0.37,0.39,-0.05
