addrcode,SMAPE without CD,SMAPE with CD,% improve SMAPE,RMSE without CD,RMSE with CD,% improvve RMSE,MAE without CD,MAE with CD,% improve MAE
810103,52.61,52.12,0.01,0.35,0.37,-0.06,0.28,0.30,-0.08
810105,110.52,108.30,0.02,0.51,0.57,-0.12,0.36,0.46,-0.27
810106,90.94,81.38,0.11,0.52,0.61,-0.18,0.42,0.47,-0.10
810111,97.78,95.19,0.03,0.47,0.62,-0.32,0.37,0.48,-0.28
810115,66.24,68.61,-0.04,0.56,0.55,0.03,0.45,0.44,0.04
810116,74.77,88.50,-0.18,0.69,0.96,-0.39,0.58,0.79,-0.37
810117,84.72,93.04,-0.10,0.54,0.54,0.00,0.41,0.44,-0.07
810118,134.61,130.14,0.03,0.66,0.54,0.17,0.43,0.36,0.17
810201,194.96,194.96,0.00,0.39,0.39,-0.01,0.23,0.23,-0.01
810202,190.77,190.81,0.00,0.11,0.11,0.01,0.11,0.11,0.02
810203,185.58,200.00,-0.08,0.21,0.20,0.07,0.17,0.14,0.16
810204,190.29,192.97,-0.01,0.20,0.19,0.03,0.15,0.10,0.33
810205,200.00,200.00,0.00,0.10,0.04,0.61,0.10,0.04,0.61
810206,195.57,200.00,-0.02,0.11,0.09,0.14,0.10,0.07,0.36
810303,118.12,98.45,0.17,0.34,0.36,-0.06,0.27,0.29,-0.09
810304,185.70,176.24,0.05,0.40,0.45,-0.14,0.25,0.34,-0.34
810305,172.20,165.59,0.04,0.27,0.33,-0.21,0.21,0.29,-0.40
810401,140.53,132.50,0.06,1.01,0.99,0.01,0.68,0.73,-0.07
810402,148.28,133.85,0.10,0.41,0.41,0.01,0.32,0.35,-0.08
810403,153.24,138.84,0.09,1.14,1.21,-0.07,0.71,0.93,-0.31
810404,151.77,131.09,0.14,0.36,0.40,-0.10,0.28,0.32,-0.13
810405,105.09,98.64,0.06,0.52,0.52,0.00,0.39,0.41,-0.03
810406,156.62,133.26,0.15,0.14,0.16,-0.15,0.13,0.14,-0.10
810407,178.08,170.35,0.04,0.26,0.36,-0.38,0.19,0.34,-0.81
810501,185.58,179.31,0.03,0.38,0.40,-0.05,0.28,0.33,-0.16
810503,188.25,188.20,0.00,0.19,0.20,-0.05,0.15,0.16,-0.04
810504,184.51,170.03,0.08,0.21,0.31,-0.50,0.17,0.27,-0.64
810505,188.41,176.89,0.06,0.41,0.48,-0.18,0.31,0.40,-0.31
810506,198.58,195.26,0.02,1.01,1.17,-0.16,0.41,1.02,-1.52
810507,183.93,192.13,-0.04,0.26,0.35,-0.32,0.20,0.20,-0.02
810508,189.17,187.98,0.01,0.30,0.30,0.01,0.22,0.21,0.01
810509,194.02,189.68,0.02,0.16,0.23,-0.43,0.14,0.22,-0.63
810601,194.09,194.54,0.00,0.39,0.38,0.02,0.21,0.20,0.04
810602,200.00,200.00,0.00,0.10,0.03,0.67,0.10,0.03,0.67
810603,200.00,200.00,0.00,0.10,0.00,0.99,0.10,0.00,0.99
810604,192.61,189.92,0.01,0.24,0.23,0.06,0.17,0.16,0.05
810701,163.04,161.96,0.01,0.93,0.97,-0.05,0.60,0.64,-0.07
810702,173.10,175.96,-0.02,0.56,0.60,-0.08,0.39,0.41,-0.07
810703,179.93,167.86,0.07,6.73,6.71,0.00,4.57,4.87,-0.07
810704,195.22,198.89,-0.02,0.19,0.20,-0.08,0.14,0.10,0.29
810801,166.68,167.47,0.00,0.73,0.82,-0.12,0.50,0.57,-0.14
810803,181.55,186.44,-0.03,0.26,0.28,-0.04,0.20,0.17,0.15
810804,193.33,197.27,-0.02,0.14,0.13,0.05,0.12,0.08,0.35
810805,192.71,198.01,-0.03,0.13,0.12,0.10,0.12,0.06,0.47
810806,193.11,200.00,-0.04,0.14,0.14,0.05,0.13,0.07,0.46
810807,185.34,195.04,-0.05,0.27,0.26,0.02,0.19,0.15,0.17
810808,181.70,195.61,-0.08,0.22,0.21,0.08,0.19,0.14,0.26
,163.49,161.35,1%,0.52,0.54,-2%,0.37,0.41,-3%
