addrcode,SMAPE without CD,SMAPE with CD,% improve SMAPE,RMSE without CD,RMSE with CD,% improvve RMSE,MAE without CD,MAE with CD,% improve MAE
800101,95.36,60.92,0.36,0.73,0.55,0.25,0.65,0.47,0.27
800102,77.02,65.27,0.15,0.60,0.56,0.07,0.48,0.44,0.09
800103,98.48,69.55,0.29,0.76,0.63,0.17,0.65,0.48,0.27
800106,131.92,110.75,0.16,0.37,0.37,0.00,0.27,0.27,0.00
800107,75.35,75.49,0.00,0.46,0.42,0.08,0.37,0.36,0.04
800108,112.18,106.86,0.05,0.74,0.72,0.03,0.53,0.53,0.00
800112,115.53,110.27,0.05,0.26,0.26,-0.02,0.21,0.22,-0.07
800113,155.94,131.43,0.16,0.26,0.29,-0.10,0.20,0.25,-0.22
800114,150.69,129.31,0.14,0.60,0.58,0.02,0.47,0.48,-0.02
800115,104.23,99.21,0.05,0.50,0.46,0.08,0.38,0.34,0.09
800116,92.52,88.06,0.05,0.60,0.55,0.09,0.52,0.46,0.12
800118,69.21,63.60,0.08,0.50,0.40,0.21,0.40,0.34,0.14
800119,165.83,175.53,-0.06,0.22,0.23,-0.05,0.17,0.15,0.07
800120,66.18,66.13,0.00,0.29,0.29,-0.02,0.23,0.23,0.01
800121,94.57,89.82,0.05,0.43,0.42,0.01,0.36,0.35,0.04
800122,82.53,90.60,-0.10,0.41,0.45,-0.09,0.33,0.37,-0.11
800201,105.04,100.72,0.04,0.54,0.56,-0.03,0.40,0.43,-0.07
800202,171.33,150.58,0.12,0.60,0.63,-0.06,0.46,0.50,-0.09
800203,106.44,95.12,0.11,0.95,0.90,0.04,0.71,0.68,0.04
800204,95.61,92.34,0.03,0.35,0.38,-0.10,0.28,0.30,-0.08
800205,135.10,108.50,0.20,0.62,0.68,-0.10,0.48,0.55,-0.15
800301,138.62,117.87,0.15,0.92,0.85,0.07,0.71,0.63,0.12
800302,159.74,137.20,0.14,0.80,0.72,0.10,0.58,0.56,0.02
800303,123.59,125.48,-0.02,0.62,0.66,-0.07,0.51,0.55,-0.08
800304,125.92,118.48,0.06,0.83,0.74,0.11,0.64,0.60,0.07
800305,118.44,117.31,0.01,0.73,0.75,-0.03,0.59,0.59,-0.01
800401,128.42,125.43,0.02,1.51,1.34,0.11,1.00,0.89,0.10
800403,136.72,120.34,0.12,0.81,0.73,0.10,0.57,0.50,0.11
800404,116.11,119.35,-0.03,0.72,0.66,0.08,0.49,0.48,0.02
800405,142.55,126.55,0.11,0.38,0.37,0.03,0.26,0.24,0.06
800406,177.93,165.75,0.07,0.52,0.51,0.02,0.39,0.41,-0.05
800407,175.18,168.97,0.04,0.40,0.42,-0.06,0.30,0.35,-0.17
800409,150.34,152.62,-0.02,0.44,0.53,-0.20,0.32,0.41,-0.30
800410,158.92,134.83,0.15,0.69,0.62,0.10,0.49,0.46,0.05
800415,192.27,191.10,0.01,0.31,0.32,-0.03,0.19,0.21,-0.12
800416,117.32,103.35,0.12,0.39,0.36,0.09,0.30,0.27,0.12
800501,136.67,134.43,0.02,0.75,0.80,-0.07,0.56,0.61,-0.09
800502,143.38,127.59,0.11,0.96,0.96,0.00,0.66,0.71,-0.07
800503,103.08,106.79,-0.04,0.68,0.66,0.03,0.52,0.51,0.01
800504,126.29,116.05,0.08,0.75,0.73,0.04,0.61,0.57,0.07
800505,179.33,165.15,0.08,0.66,0.60,0.09,0.48,0.49,-0.01
800601,175.63,170.73,0.03,0.32,0.36,-0.13,0.27,0.29,-0.10
800603,191.13,185.00,0.03,0.64,0.63,0.02,0.42,0.47,-0.11
800604,197.56,195.82,0.01,1.17,1.17,0.00,0.63,0.71,-0.12
800605,188.42,178.99,0.05,0.59,0.57,0.04,0.43,0.46,-0.06
800606,187.98,182.47,0.03,0.22,0.22,0.01,0.16,0.19,-0.15
800607,194.81,186.07,0.04,0.58,0.68,-0.16,0.34,0.47,-0.38
800610,184.38,165.93,0.10,0.72,0.65,0.10,0.50,0.53,-0.07
800611,169.85,154.65,0.09,0.37,0.31,0.16,0.25,0.22,0.12
800612,120.37,120.51,0.00,0.43,0.49,-0.14,0.34,0.37,-0.09
800613,167.52,154.27,0.08,0.18,0.32,-0.74,0.16,0.27,-0.67
800701,167.01,162.13,0.03,0.14,0.15,-0.07,0.12,0.13,-0.07
800702,176.52,163.99,0.07,0.37,0.35,0.05,0.27,0.26,0.03
800703,169.80,164.64,0.03,0.76,0.76,0.01,0.58,0.58,0.00
800704,179.07,182.28,-0.02,0.23,0.23,-0.01,0.18,0.17,0.03
800705,176.31,186.00,-0.05,0.22,0.28,-0.27,0.16,0.18,-0.12
800706,165.30,164.75,0.00,0.41,0.37,0.11,0.30,0.29,0.03
800707,180.37,176.46,0.02,0.23,0.28,-0.21,0.19,0.19,-0.03
800708,171.96,170.34,0.01,0.33,0.34,-0.03,0.27,0.24,0.11
800709,151.67,131.31,0.13,0.30,0.32,-0.06,0.26,0.28,-0.09
800710,163.73,172.50,-0.05,0.25,0.30,-0.19,0.20,0.22,-0.11
800711,166.25,166.95,0.00,0.23,0.24,-0.05,0.17,0.18,-0.08
800801,132.83,121.78,0.08,0.14,0.15,-0.02,0.12,0.13,-0.04
800802,179.65,182.96,-0.02,0.24,0.27,-0.15,0.19,0.21,-0.08
800803,95.70,89.43,0.07,0.32,0.33,-0.04,0.25,0.26,-0.02
800804,172.27,147.62,0.14,0.34,0.30,0.10,0.28,0.27,0.02
800806,155.17,145.29,0.06,0.33,0.32,0.02,0.26,0.24,0.07
800807,107.32,109.54,-0.02,0.22,0.23,-0.06,0.19,0.19,-0.05
800809,119.69,103.01,0.14,0.46,0.63,-0.39,0.36,0.43,-0.18
800810,109.40,111.41,-0.02,0.34,0.42,-0.23,0.25,0.35,-0.39
800811,164.06,161.58,0.02,0.26,0.27,-0.06,0.21,0.22,-0.04
800813,142.47,129.35,0.09,0.31,0.33,-0.07,0.25,0.24,0.04
800901,103.04,80.26,0.22,0.39,0.34,0.12,0.31,0.26,0.17
800902,100.83,99.86,0.01,0.27,0.29,-0.10,0.22,0.25,-0.13
800903,146.38,145.09,0.01,0.40,0.45,-0.12,0.35,0.38,-0.11
800904,138.52,122.38,0.12,0.27,0.25,0.05,0.22,0.21,0.02
800905,159.42,155.60,0.02,0.50,0.51,-0.02,0.31,0.32,-0.02
800906,142.42,135.69,0.05,0.39,0.40,-0.01,0.26,0.28,-0.06
800907,126.57,129.22,-0.02,0.36,0.38,-0.05,0.28,0.29,-0.05
800908,134.27,125.74,0.06,0.34,0.33,0.05,0.27,0.25,0.08
800909,103.69,103.15,0.01,0.42,0.39,0.06,0.31,0.30,0.04
800910,185.42,186.39,-0.01,0.34,0.35,-0.02,0.26,0.25,0.03
