addrcode,SMAPE without CD,SMAPE with CD,% improve SMAPE,RMSE without CD,RMSE with CD,% improvve RMSE,MAE without CD,MAE with CD,% improve MAE
100101,193.26,189.89,0.02,0.38,0.43,-0.12,0.26,0.29,-0.13
100102,143.57,148.79,-0.04,0.11,0.17,-0.56,0.11,0.14,-0.27
100103,181.08,163.69,0.10,0.60,0.71,-0.18,0.41,0.53,-0.28
100104,163.36,163.19,0.00,0.67,0.74,-0.11,0.53,0.43,0.19
100105,185.75,187.16,-0.01,0.67,0.76,-0.12,0.43,0.51,-0.19
100106,196.73,195.25,0.01,0.31,0.65,-1.12,0.20,0.46,-1.35
100107,174.13,177.81,-0.02,0.21,0.42,-1.00,0.18,0.33,-0.83
100108,195.04,189.81,0.03,0.45,0.49,-0.11,0.29,0.35,-0.21
100109,197.16,189.85,0.04,0.39,0.74,-0.91,0.22,0.47,-1.14
100110,173.31,159.58,0.08,0.44,0.45,-0.03,0.32,0.35,-0.10
100111,139.66,121.83,0.13,0.53,0.49,0.06,0.40,0.39,0.03
100112,165.31,163.17,0.01,0.53,0.70,-0.31,0.44,0.54,-0.23
100201,72.90,87.74,-0.20,0.30,0.32,-0.07,0.22,0.25,-0.10
100202,132.93,116.86,0.12,0.50,0.27,0.47,0.33,0.17,0.49
100203,140.24,137.32,0.02,0.21,0.26,-0.22,0.18,0.19,-0.02
100204,115.40,118.71,-0.03,1.37,1.40,-0.02,0.88,0.92,-0.04
100301,86.90,99.99,-0.15,0.40,0.43,-0.07,0.29,0.31,-0.07
100302,130.92,122.99,0.06,0.54,0.37,0.31,0.41,0.30,0.27
100303,135.87,140.88,-0.04,0.34,0.40,-0.17,0.26,0.30,-0.13
100304,160.59,156.51,0.03,0.32,0.43,-0.35,0.23,0.30,-0.32
100305,95.81,95.57,0.00,0.33,0.39,-0.16,0.23,0.29,-0.25
100306,132.02,138.00,-0.05,0.24,0.29,-0.23,0.18,0.23,-0.29
100307,89.16,90.44,-0.01,0.23,0.22,0.03,0.19,0.17,0.10
100401,91.71,108.71,-0.19,0.58,0.58,0.00,0.37,0.40,-0.07
100402,122.66,108.53,0.12,0.64,0.44,0.31,0.39,0.29,0.25
100403,176.24,159.59,0.09,0.75,0.75,0.00,0.54,0.58,-0.06
100404,179.99,172.86,0.04,0.81,0.71,0.12,0.58,0.56,0.05
100405,132.71,106.73,0.20,1.38,1.10,0.20,0.83,0.73,0.12
100502,88.31,66.40,0.25,0.28,0.15,0.47,0.18,0.11,0.39
100508,104.23,81.29,0.22,0.28,0.18,0.37,0.18,0.13,0.30
100601,70.60,67.12,0.05,0.40,0.50,-0.24,0.27,0.33,-0.20
100608,59.38,64.87,-0.09,0.31,0.33,-0.05,0.23,0.26,-0.12
100701,114.77,131.46,-0.15,0.23,0.22,0.04,0.15,0.17,-0.14
100702,100.60,96.89,0.04,0.41,0.46,-0.13,0.32,0.34,-0.06
100703,130.74,129.38,0.01,0.42,0.81,-0.91,0.36,0.55,-0.53
100704,129.82,86.64,0.33,0.26,0.23,0.11,0.21,0.19,0.11
100801,117.16,115.80,0.01,0.39,0.40,-0.04,0.31,0.32,-0.04
100802,164.65,174.00,-0.06,0.32,0.35,-0.08,0.23,0.27,-0.17
100803,87.37,98.62,-0.13,1.12,0.96,0.15,0.68,0.67,0.01
100804,163.91,160.54,0.02,0.17,0.31,-0.81,0.16,0.23,-0.42
100805,144.75,155.45,-0.07,0.38,0.43,-0.13,0.31,0.35,-0.11
101001,86.52,91.57,-0.06,0.55,0.25,0.55,0.32,0.20,0.38
101002,82.38,84.30,-0.02,0.52,0.45,0.13,0.38,0.33,0.13
101102,104.73,81.69,0.22,0.23,0.22,0.02,0.16,0.15,0.07
101103,119.89,124.18,-0.04,0.32,0.28,0.10,0.23,0.21,0.06
101104,99.47,91.13,0.08,0.35,0.37,-0.07,0.26,0.26,-0.03
101105,132.16,147.11,-0.11,0.16,0.15,0.10,0.11,0.11,0.03
101106,149.79,141.55,0.06,0.27,0.32,-0.18,0.22,0.23,-0.09
101203,59.23,57.35,0.03,0.25,0.25,-0.01,0.20,0.19,0.06
101204,77.77,87.42,-0.12,0.31,0.39,-0.26,0.25,0.27,-0.09
101301,168.63,174.75,-0.04,0.51,0.47,0.08,0.40,0.37,0.07
101302,145.76,142.70,0.02,0.53,0.58,-0.08,0.40,0.43,-0.09
101303,145.58,137.78,0.05,0.68,0.59,0.12,0.44,0.41,0.06
101401,70.61,70.38,0.00,0.31,0.31,0.00,0.23,0.25,-0.09
101501,168.85,177.52,-0.05,0.21,0.32,-0.49,0.17,0.24,-0.41
101502,150.05,150.89,-0.01,0.19,0.28,-0.47,0.15,0.23,-0.49
101503,94.67,83.79,0.11,0.20,0.23,-0.19,0.17,0.18,-0.05
101504,59.08,57.55,0.03,0.40,0.40,0.00,0.29,0.31,-0.04
