addrcode,SMAPE without CD,SMAPE with CD,% improve SMAPE,RMSE without CD,RMSE with CD,% improvve RMSE,MAE without CD,MAE with CD,% improve MAE
810103,52.61,62.01,-0.18,0.35,0.57,-0.65,0.28,0.43,-0.55
810105,110.52,87.11,0.21,0.51,0.54,-0.07,0.36,0.43,-0.17
810106,90.94,95.72,-0.05,0.52,0.77,-0.49,0.42,0.57,-0.35
810111,97.78,91.13,0.07,0.47,0.57,-0.21,0.37,0.42,-0.13
810115,66.24,63.92,0.03,0.56,0.66,-0.18,0.45,0.51,-0.12
810116,74.77,72.77,0.03,0.69,0.99,-0.44,0.58,0.67,-0.16
810117,84.72,93.47,-0.10,0.54,0.73,-0.36,0.41,0.58,-0.42
810118,134.61,138.70,-0.03,0.66,0.88,-0.34,0.43,0.56,-0.28
810201,194.96,196.29,-0.01,0.39,0.60,-0.54,0.23,0.39,-0.69
810202,190.77,197.44,-0.03,0.11,0.16,-0.43,0.11,0.10,0.05
810203,185.58,183.83,0.01,0.21,0.17,0.17,0.17,0.14,0.18
810204,190.29,187.77,0.01,0.20,0.30,-0.55,0.15,0.23,-0.58
810205,200.00,200.00,0.00,0.10,0.10,0.03,0.10,0.08,0.18
810206,195.57,198.64,-0.02,0.11,0.11,-0.01,0.10,0.09,0.14
810303,118.12,103.11,0.13,0.34,0.44,-0.29,0.27,0.34,-0.27
810304,185.70,173.89,0.06,0.40,0.61,-0.53,0.25,0.45,-0.78
810305,172.20,171.19,0.01,0.27,0.55,-1.02,0.21,0.38,-0.82
810401,140.53,133.47,0.05,1.01,1.11,-0.10,0.68,0.86,-0.27
810402,148.28,125.33,0.15,0.41,0.56,-0.37,0.32,0.45,-0.40
810403,153.24,141.59,0.08,1.14,1.48,-0.30,0.71,1.09,-0.53
810404,151.77,132.15,0.13,0.36,0.46,-0.29,0.28,0.39,-0.38
810405,105.09,90.47,0.14,0.52,0.65,-0.26,0.39,0.46,-0.18
810406,156.62,146.28,0.07,0.14,0.37,-1.61,0.13,0.28,-1.24
810407,178.08,168.86,0.05,0.26,0.36,-0.39,0.19,0.30,-0.59
810501,185.58,195.29,-0.05,0.38,0.47,-0.24,0.28,0.35,-0.25
810503,188.25,187.99,0.00,0.19,0.37,-0.93,0.15,0.29,-0.92
810504,184.51,175.96,0.05,0.21,0.39,-0.86,0.17,0.31,-0.88
810505,188.41,174.36,0.07,0.41,0.50,-0.21,0.31,0.35,-0.15
810506,198.58,197.25,0.01,1.01,1.70,-0.68,0.41,0.98,-1.41
810507,183.93,192.22,-0.05,0.26,0.53,-1.01,0.20,0.36,-0.80
810508,189.17,173.08,0.09,0.30,0.37,-0.21,0.22,0.27,-0.25
810509,194.02,195.99,-0.01,0.16,0.43,-1.71,0.14,0.30,-1.21
810601,194.09,198.44,-0.02,0.39,0.53,-0.37,0.21,0.33,-0.57
810602,200.00,200.00,0.00,0.10,0.17,-0.75,0.10,0.13,-0.32
810603,200.00,200.00,0.00,0.10,0.30,-1.96,0.10,0.18,-0.78
810604,192.61,179.95,0.07,0.24,0.26,-0.07,0.17,0.19,-0.15
810701,163.04,156.29,0.04,0.93,1.09,-0.18,0.60,0.75,-0.25
810702,173.10,160.71,0.07,0.56,0.75,-0.34,0.39,0.58,-0.51
810703,179.93,177.00,0.02,6.73,6.96,-0.03,4.57,4.90,-0.07
810704,195.22,196.30,-0.01,0.19,0.37,-0.99,0.14,0.29,-1.10
810801,166.68,151.60,0.09,0.73,0.73,0.00,0.50,0.57,-0.15
810803,181.55,175.54,0.03,0.26,0.31,-0.17,0.20,0.22,-0.09
810804,193.33,199.94,-0.03,0.14,0.20,-0.44,0.12,0.14,-0.17
810805,192.71,190.36,0.01,0.13,0.19,-0.41,0.12,0.13,-0.09
810806,193.11,195.21,-0.01,0.14,0.36,-1.50,0.13,0.24,-0.90
810807,185.34,181.24,0.02,0.27,0.36,-0.34,0.19,0.27,-0.43
810808,181.70,181.08,0.00,0.22,0.21,0.08,0.19,0.16,0.15
,163.49,159.38,3%,0.52,0.67,-48%,0.37,0.48,-42%
