addrcode,SMAPE without CD,SMAPE with CD,% improve SMAPE,RMSE without CD,RMSE with CD,% improvve RMSE,MAE without CD,MAE with CD,% improve MAE
800101,95.36,47.53,0.50,0.73,0.56,0.23,0.65,0.46,0.29
800102,77.02,76.54,0.01,0.60,0.66,-0.10,0.48,0.55,-0.15
800103,98.48,55.49,0.44,0.76,0.58,0.24,0.65,0.45,0.31
800106,131.92,126.33,0.04,0.37,0.39,-0.07,0.27,0.29,-0.09
800107,75.35,73.40,0.03,0.46,0.52,-0.13,0.37,0.39,-0.05
800108,112.18,90.33,0.19,0.74,0.67,0.10,0.53,0.46,0.13
800112,115.53,139.10,-0.20,0.26,0.46,-0.76,0.21,0.30,-0.47
800113,155.94,148.33,0.05,0.26,0.35,-0.35,0.20,0.29,-0.44
800114,150.69,116.80,0.22,0.60,0.44,0.27,0.47,0.35,0.24
800115,104.23,102.23,0.02,0.50,0.57,-0.13,0.38,0.42,-0.10
800116,92.52,106.69,-0.15,0.60,0.82,-0.36,0.52,0.65,-0.26
800118,69.21,68.66,0.01,0.50,0.44,0.13,0.40,0.37,0.08
800119,165.83,149.50,0.10,0.22,0.32,-0.47,0.17,0.22,-0.34
800120,66.18,72.54,-0.10,0.29,0.48,-0.67,0.23,0.36,-0.55
800121,94.57,83.81,0.11,0.43,0.46,-0.08,0.36,0.37,-0.02
800122,82.53,82.14,0.00,0.41,0.41,0.00,0.33,0.35,-0.07
800201,105.04,123.63,-0.18,0.54,0.59,-0.09,0.40,0.44,-0.08
800202,171.33,157.09,0.08,0.60,0.68,-0.14,0.46,0.52,-0.12
800203,106.44,97.16,0.09,0.95,0.90,0.05,0.71,0.68,0.05
800204,95.61,112.27,-0.17,0.35,0.50,-0.42,0.28,0.33,-0.20
800205,135.10,118.26,0.12,0.62,1.13,-0.83,0.48,0.82,-0.71
800301,138.62,130.48,0.06,0.92,0.85,0.07,0.71,0.67,0.06
800302,159.74,140.92,0.12,0.80,1.16,-0.45,0.58,0.75,-0.31
800303,123.59,124.16,0.00,0.62,0.64,-0.04,0.51,0.49,0.03
800304,125.92,131.38,-0.04,0.83,0.87,-0.04,0.64,0.71,-0.11
800305,118.44,106.00,0.11,0.73,0.72,0.02,0.59,0.56,0.05
800401,128.42,147.93,-0.15,1.51,1.56,-0.03,1.00,1.09,-0.10
800403,136.72,122.41,0.10,0.81,0.71,0.12,0.57,0.51,0.11
800404,116.11,134.14,-0.16,0.72,0.60,0.16,0.49,0.47,0.04
800405,142.55,148.90,-0.04,0.38,0.43,-0.14,0.26,0.30,-0.18
800406,177.93,163.40,0.08,0.52,0.87,-0.66,0.39,0.53,-0.36
800407,175.18,169.31,0.03,0.40,0.87,-1.19,0.30,0.50,-0.66
800409,150.34,146.99,0.02,0.44,0.49,-0.11,0.32,0.37,-0.17
800410,158.92,130.09,0.18,0.69,0.62,0.10,0.49,0.51,-0.04
800415,192.27,193.48,-0.01,0.31,0.40,-0.29,0.19,0.26,-0.38
800416,117.32,142.94,-0.22,0.39,0.53,-0.35,0.30,0.45,-0.47
800501,136.67,132.68,0.03,0.75,0.80,-0.07,0.56,0.70,-0.25
800502,143.38,142.67,0.00,0.96,0.99,-0.03,0.66,0.72,-0.09
800503,103.08,126.91,-0.23,0.68,0.84,-0.24,0.52,0.73,-0.41
800504,126.29,126.78,0.00,0.75,0.86,-0.14,0.61,0.71,-0.17
800505,179.33,182.11,-0.02,0.66,0.72,-0.09,0.48,0.55,-0.14
800601,175.63,173.89,0.01,0.32,0.59,-0.84,0.27,0.43,-0.62
800603,191.13,187.57,0.02,0.64,0.87,-0.37,0.42,0.60,-0.42
800604,197.56,197.50,0.00,1.17,1.32,-0.13,0.63,0.85,-0.34
800605,188.42,183.28,0.03,0.59,0.80,-0.36,0.43,0.60,-0.39
800606,187.98,185.17,0.01,0.22,0.32,-0.41,0.16,0.22,-0.34
800607,194.81,191.83,0.02,0.58,0.79,-0.35,0.34,0.45,-0.33
800610,184.38,161.19,0.13,0.72,0.76,-0.05,0.50,0.54,-0.08
800611,169.85,148.65,0.12,0.37,0.37,0.01,0.25,0.26,-0.02
800612,120.37,119.93,0.00,0.43,0.69,-0.62,0.34,0.48,-0.42
800613,167.52,166.92,0.00,0.18,0.34,-0.86,0.16,0.27,-0.72
800701,167.01,163.31,0.02,0.14,0.31,-1.19,0.12,0.23,-0.95
800702,176.52,180.25,-0.02,0.37,0.50,-0.36,0.27,0.40,-0.51
800703,169.80,121.64,0.28,0.76,0.66,0.13,0.58,0.51,0.12
800704,179.07,163.33,0.09,0.23,0.27,-0.21,0.18,0.21,-0.17
800705,176.31,164.50,0.07,0.22,0.25,-0.11,0.16,0.19,-0.19
800706,165.30,145.05,0.12,0.41,0.33,0.21,0.30,0.25,0.16
800707,180.37,172.57,0.04,0.23,0.51,-1.21,0.19,0.42,-1.21
800708,171.96,154.90,0.10,0.33,0.32,0.04,0.27,0.24,0.12
800709,151.67,155.97,-0.03,0.30,0.28,0.06,0.26,0.22,0.15
800710,163.73,164.84,-0.01,0.25,0.29,-0.14,0.20,0.21,-0.04
800711,166.25,176.33,-0.06,0.23,0.37,-0.61,0.17,0.31,-0.79
800801,132.83,110.62,0.17,0.14,0.17,-0.22,0.12,0.15,-0.21
800802,179.65,182.14,-0.01,0.24,0.30,-0.25,0.19,0.24,-0.23
800803,95.70,91.02,0.05,0.32,0.33,-0.03,0.25,0.25,-0.02
800804,172.27,164.30,0.05,0.34,0.47,-0.38,0.28,0.37,-0.36
800806,155.17,159.76,-0.03,0.33,0.53,-0.60,0.26,0.39,-0.47
800807,107.32,124.58,-0.16,0.22,0.34,-0.56,0.19,0.26,-0.41
800809,119.69,91.47,0.24,0.46,0.62,-0.37,0.36,0.37,-0.02
800810,109.40,142.65,-0.30,0.34,0.94,-1.79,0.25,0.71,-1.84
800811,164.06,150.41,0.08,0.26,0.45,-0.78,0.21,0.31,-0.49
800813,142.47,141.73,0.01,0.31,0.32,-0.03,0.25,0.25,0.01
800901,103.04,84.87,0.18,0.39,0.50,-0.29,0.31,0.37,-0.16
800902,100.83,130.55,-0.29,0.27,0.40,-0.48,0.22,0.35,-0.61
800903,146.38,154.83,-0.06,0.40,0.42,-0.05,0.35,0.34,0.01
800904,138.52,132.07,0.05,0.27,0.36,-0.36,0.22,0.27,-0.24
800905,159.42,166.84,-0.05,0.50,0.59,-0.18,0.31,0.39,-0.24
800906,142.42,141.52,0.01,0.39,0.48,-0.21,0.26,0.33,-0.26
800907,126.57,138.64,-0.10,0.36,0.56,-0.58,0.28,0.41,-0.48
