addrcode,SMAPE without CD,SMAPE with CD,% improve SMAPE,RMSE without CD,RMSE with CD,% improvve RMSE,MAE without CD,MAE with CD,% improve MAE,
100101,193.26,190.78,0.01,0.38,0.39,-0.02,0.26,0.28,-0.08,
100102,143.57,151.64,-0.06,0.11,0.15,-0.43,0.11,0.13,-0.21,
100103,181.08,164.33,0.09,0.60,0.76,-0.26,0.41,0.50,-0.23,
100104,163.36,160.55,0.02,0.67,0.63,0.06,0.53,0.43,0.18,
100105,185.75,179.90,0.03,0.67,0.60,0.11,0.43,0.38,0.10,
100106,196.73,193.92,0.01,0.31,0.48,-0.56,0.20,0.32,-0.65,
100107,174.13,177.60,-0.02,0.21,0.29,-0.38,0.18,0.22,-0.24,
100108,195.04,194.10,0.00,0.45,0.53,-0.20,0.29,0.36,-0.26,
100109,197.16,196.13,0.01,0.39,0.38,0.02,0.22,0.25,-0.13,
100110,173.31,158.41,0.09,0.44,0.53,-0.20,0.32,0.34,-0.06,
100111,139.66,117.22,0.16,0.53,0.44,0.16,0.40,0.32,0.19,
100112,165.31,162.33,0.02,0.53,0.67,-0.25,0.44,0.52,-0.19,
100201,72.90,85.07,-0.17,0.30,0.36,-0.21,0.22,0.27,-0.22,
100202,132.93,121.18,0.09,0.50,0.24,0.52,0.33,0.18,0.47,
100203,140.24,134.34,0.04,0.21,0.22,-0.01,0.18,0.15,0.16,
100204,115.40,108.95,0.06,1.37,1.32,0.03,0.88,0.88,0.00,
100301,86.90,108.52,-0.25,0.40,0.41,-0.03,0.29,0.31,-0.06,
100302,130.92,121.60,0.07,0.54,0.42,0.22,0.41,0.33,0.20,
100303,135.87,135.18,0.01,0.34,0.39,-0.15,0.26,0.28,-0.06,
100304,160.59,156.87,0.02,0.32,0.36,-0.14,0.23,0.25,-0.08,
100305,95.81,118.44,-0.24,0.33,0.43,-0.28,0.23,0.32,-0.38,
100306,132.02,134.44,-0.02,0.24,0.29,-0.22,0.18,0.23,-0.25,
100307,89.16,89.94,-0.01,0.23,0.20,0.12,0.19,0.17,0.14,
100401,91.71,95.53,-0.04,0.58,0.55,0.05,0.37,0.36,0.04,
100402,122.66,105.80,0.14,0.64,0.48,0.25,0.39,0.32,0.19,
100403,176.24,157.68,0.11,0.75,0.89,-0.19,0.54,0.68,-0.26,
100404,179.99,180.15,0.00,0.81,0.80,0.01,0.58,0.57,0.02,
100405,132.71,110.39,0.17,1.38,1.04,0.25,0.83,0.73,0.12,
100502,88.31,78.96,0.11,0.28,0.13,0.52,0.18,0.11,0.42,
100508,104.23,89.32,0.14,0.28,0.18,0.37,0.18,0.14,0.24,
100601,70.60,78.47,-0.11,0.40,0.53,-0.32,0.27,0.36,-0.33,
100608,59.38,69.91,-0.18,0.31,0.43,-0.39,0.23,0.32,-0.38,
100701,114.77,125.15,-0.09,0.23,0.22,0.02,0.15,0.17,-0.17,
100702,100.60,103.58,-0.03,0.41,0.41,-0.02,0.32,0.33,-0.02,
100703,130.74,134.91,-0.03,0.42,0.73,-0.74,0.36,0.48,-0.35,
100704,129.82,76.74,0.41,0.26,0.21,0.22,0.21,0.16,0.27,
100801,117.16,124.30,-0.06,0.39,0.41,-0.04,0.31,0.32,-0.05,
100802,164.65,166.18,-0.01,0.32,0.31,0.04,0.23,0.24,-0.04,
100803,87.37,99.41,-0.14,1.12,0.98,0.13,0.68,0.70,-0.03,
100804,163.91,158.56,0.03,0.17,0.28,-0.62,0.16,0.22,-0.33,
100805,144.75,147.92,-0.02,0.38,0.47,-0.22,0.31,0.34,-0.10,
101001,86.52,87.63,-0.01,0.55,0.25,0.55,0.32,0.18,0.44,
101002,82.38,88.76,-0.08,0.52,0.43,0.18,0.38,0.32,0.16,
101102,104.73,81.77,0.22,0.23,0.18,0.22,0.16,0.15,0.12,
101103,119.89,114.88,0.04,0.32,0.30,0.06,0.23,0.23,0.01,
101104,99.47,96.39,0.03,0.35,0.39,-0.13,0.26,0.28,-0.07,
101105,132.16,129.29,0.02,0.16,0.18,-0.07,0.11,0.13,-0.19,
101106,149.79,143.13,0.04,0.27,0.32,-0.19,0.22,0.26,-0.19,
101203,59.23,61.88,-0.04,0.25,0.26,-0.04,0.20,0.20,0.00,
101204,77.77,83.50,-0.07,0.31,0.36,-0.16,0.25,0.26,-0.03,
101301,168.63,165.93,0.02,0.51,0.49,0.04,0.40,0.36,0.08,
101302,145.76,149.92,-0.03,0.53,0.71,-0.33,0.40,0.50,-0.25,
101303,145.58,128.18,0.12,0.68,0.51,0.25,0.44,0.37,0.16,
101401,70.61,64.62,0.08,0.31,0.27,0.12,0.23,0.21,0.08,
101501,168.85,175.16,-0.04,0.21,0.28,-0.34,0.17,0.20,-0.15,
101502,150.05,147.12,0.02,0.19,0.28,-0.47,0.15,0.21,-0.37,
101503,94.67,96.05,-0.01,0.20,0.26,-0.32,0.17,0.19,-0.11,
101504,59.08,54.40,0.08,0.40,0.46,-0.13,0.29,0.33,-0.11,
101505,115.00,132.03,-0.15,0.25,0.39,-0.55,0.20,0.28,-0.42,
101506,79.66,85.21,-0.07,0.25,0.33,-0.34,0.19,0.26,-0.34,
101507,133.88,138.66,-0.04,0.14,0.17,-0.24,0.11,0.13,-0.16,
101601,137.65,139.86,-0.02,1.17,0.95,0.19,0.73,0.65,0.11,
101602,100.97,95.10,0.06,0.82,0.42,0.49,0.45,0.28,0.37,
101701,79.44,66.37,0.16,1.45,0.74,0.49,0.91,0.53,0.42,
101702,143.98,105.90,0.26,0.40,0.34,0.16,0.32,0.26,0.17,
101704,84.74,70.78,0.16,0.56,0.34,0.38,0.32,0.24,0.23,
101801,137.89,137.21,0.00,0.42,0.36,0.15,0.30,0.27,0.09,
101802,70.56,98.08,-0.39,0.38,0.46,-0.21,0.26,0.35,-0.34,
101803,112.31,111.85,0.00,0.23,0.26,-0.10,0.18,0.20,-0.10,
101804,108.29,122.63,-0.13,0.24,0.26,-0.07,0.21,0.21,-0.01,
101901,135.77,148.12,-0.09,0.18,0.25,-0.34,0.14,0.18,-0.30,
101902,62.90,66.58,-0.06,0.41,0.33,0.20,0.25,0.24,0.02,
101904,75.64,72.42,0.04,0.66,0.49,0.26,0.47,0.37,0.21,
101905,135.37,129.98,0.04,0.52,0.49,0.06,0.36,0.34,0.06,
101907,110.85,106.07,0.04,0.53,0.57,-0.07,0.41,0.44,-0.08,
102004,95.88,91.64,0.04,0.59,0.47,0.21,0.42,0.35,0.18,
102005,97.11,88.31,0.09,0.25,0.22,0.12,0.19,0.17,0.12,
102006,132.19,117.06,0.11,1.52,0.92,0.40,0.91,0.61,0.33,
102007,107.75,95.36,0.12,0.15,0.17,-0.12,0.11,0.13,-0.13,
102009,93.48,76.57,0.18,1.05,0.64,0.39,0.73,0.48,0.34,
102105,86.79,65.02,0.25,0.55,0.50,0.10,0.32,0.28,0.14,
102107,98.42,73.34,0.25,0.23,0.29,-0.26,0.18,0.19,-0.10,
102201,115.23,82.95,0.28,0.34,0.28,0.17,0.27,0.23,0.14,
102202,123.55,108.31,0.12,0.31,0.25,0.19,0.22,0.20,0.08,
102206,156.78,149.08,0.05,0.50,0.60,-0.21,0.37,0.40,-0.08,
102207,117.53,106.27,0.10,1.12,0.53,0.53,0.72,0.40,0.45,
102208,172.82,127.17,0.26,0.50,0.41,0.18,0.37,0.31,0.16,
102209,103.43,117.24,-0.13,0.24,0.36,-0.52,0.19,0.27,-0.47,
102210,166.78,161.51,0.03,0.31,0.36,-0.15,0.23,0.24,-0.05,
102302,97.01,73.15,0.25,0.36,0.30,0.17,0.25,0.22,0.13,
102303,83.79,83.94,0.00,0.33,0.27,0.20,0.23,0.22,0.06,
102401,54.11,78.66,-0.45,0.24,0.35,-0.43,0.18,0.27,-0.50,
102402,91.08,99.51,-0.09,0.23,0.28,-0.24,0.18,0.22,-0.23,
102501,98.16,100.47,-0.02,0.41,0.34,0.18,0.30,0.28,0.08,
102502,105.84,90.44,0.15,0.41,0.33,0.20,0.32,0.26,0.19,
