addrcode,SMAPE without CD,SMAPE with CD,% improve SMAPE,RMSE without CD,RMSE with CD,% improvve RMSE,MAE without CD,MAE with CD,% improve MAE
810103,52.61,63.15,-0.20,0.35,0.66,-0.90,0.28,0.41,-0.49
810105,110.52,89.84,0.19,0.51,0.52,-0.03,0.36,0.39,-0.08
810106,90.94,95.34,-0.05,0.52,0.68,-0.32,0.42,0.50,-0.17
810111,97.78,101.33,-0.04,0.47,0.58,-0.22,0.37,0.44,-0.18
810115,66.24,73.28,-0.11,0.56,0.69,-0.23,0.45,0.56,-0.23
810116,74.77,65.27,0.13,0.69,0.61,0.12,0.58,0.45,0.22
810117,84.72,83.85,0.01,0.54,0.64,-0.19,0.41,0.49,-0.20
810118,134.61,146.84,-0.09,0.66,0.80,-0.22,0.43,0.57,-0.31
810201,194.96,198.14,-0.02,0.39,0.54,-0.40,0.23,0.33,-0.41
810202,190.77,191.66,0.00,0.11,0.22,-0.98,0.11,0.16,-0.50
810203,185.58,172.11,0.07,0.21,0.27,-0.27,0.17,0.19,-0.08
810204,190.29,197.48,-0.04,0.20,0.36,-0.83,0.15,0.24,-0.67
810205,200.00,200.00,0.00,0.10,0.28,-1.82,0.10,0.19,-0.87
810206,195.57,197.34,-0.01,0.11,0.20,-0.87,0.10,0.14,-0.33
810303,118.12,107.38,0.09,0.34,0.41,-0.22,0.27,0.30,-0.13
810304,185.70,185.44,0.00,0.40,0.68,-0.69,0.25,0.51,-1.01
810305,172.20,172.16,0.00,0.27,1.83,-5.68,0.21,0.68,-2.28
810401,140.53,148.85,-0.06,1.01,1.22,-0.20,0.68,0.89,-0.31
810402,148.28,135.51,0.09,0.41,0.58,-0.41,0.32,0.39,-0.23
810403,153.24,149.71,0.02,1.14,1.27,-0.11,0.71,0.75,-0.05
810404,151.77,129.63,0.15,0.36,0.51,-0.43,0.28,0.41,-0.43
810405,105.09,102.35,0.03,0.52,0.54,-0.05,0.39,0.40,-0.01
810406,156.62,167.82,-0.07,0.14,0.50,-2.54,0.13,0.36,-1.87
810407,178.08,179.84,-0.01,0.26,0.55,-1.15,0.19,0.36,-0.90
810501,185.58,182.07,0.02,0.38,0.64,-0.69,0.28,0.47,-0.69
810503,188.25,181.84,0.03,0.19,0.40,-1.09,0.15,0.30,-1.01
810504,184.51,185.83,-0.01,0.21,0.55,-1.60,0.17,0.36,-1.16
810505,188.41,180.27,0.04,0.41,0.56,-0.37,0.31,0.38,-0.25
810506,198.58,197.95,0.00,1.01,1.20,-0.19,0.41,0.66,-0.63
810507,183.93,191.40,-0.04,0.26,1.43,-4.44,0.20,0.58,-1.87
810508,189.17,178.48,0.06,0.30,0.44,-0.45,0.22,0.32,-0.46
810509,194.02,191.51,0.01,0.16,0.32,-1.01,0.14,0.23,-0.67
810601,194.09,191.73,0.01,0.39,0.64,-0.64,0.21,0.43,-1.04
810602,200.00,200.00,0.00,0.10,0.31,-2.09,0.10,0.20,-0.99
810603,200.00,200.00,0.00,0.10,0.43,-3.26,0.10,0.25,-1.48
810604,192.61,180.14,0.06,0.24,0.45,-0.87,0.17,0.29,-0.77
810701,163.04,150.35,0.08,0.93,1.03,-0.11,0.60,0.67,-0.11
810702,173.10,168.18,0.03,0.56,0.71,-0.27,0.39,0.53,-0.38
810703,179.93,182.25,-0.01,6.73,6.43,0.04,4.57,4.38,0.04
810704,195.22,195.69,0.00,0.19,0.37,-0.98,0.14,0.24,-0.73
810801,166.68,156.28,0.06,0.73,0.92,-0.26,0.50,0.60,-0.20
810803,181.55,157.90,0.13,0.26,0.47,-0.76,0.20,0.31,-0.55
810804,193.33,195.30,-0.01,0.14,0.34,-1.49,0.12,0.21,-0.85
810805,192.71,188.58,0.02,0.13,0.45,-2.38,0.12,0.26,-1.11
810806,193.11,193.04,0.00,0.14,0.29,-1.04,0.13,0.21,-0.62
810807,185.34,180.27,0.03,0.27,0.43,-0.58,0.19,0.31,-0.66
810808,181.70,181.11,0.00,0.22,0.33,-0.47,0.19,0.24,-0.28
,163.49,160.95,1%,0.52,0.73,-93%,0.37,0.48,-60%
